date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,96.26,0.04,2023-01-01 15:45:00,98.57,0.01,2023-01-01 00:15:00,99.85,0.0,2023-01-01 04:45:00,49
2023-01-02,88.2,0.13,2023-01-02 07:00:00,91.95,0.08,2023-01-02 06:45:00,94.63,0.05,2023-01-02 05:45:00,49
2023-01-03,44.28,1.22,2023-01-03 17:15:00,68.62,0.44,2023-01-03 16:45:00,77.74,0.28,2023-01-03 16:45:00,49
2023-01-04,61.31,0.61,2023-01-04 17:15:00,75.04,0.32,2023-01-04 16:30:00,79.95,0.24,2023-01-04 16:30:00,49
2023-01-05,68.4,0.45,2023-01-05 17:45:00,73.01,0.36,2023-01-05 16:45:00,77.52,0.28,2023-01-05 16:45:00,49
2023-01-06,87.92,0.13,2023-01-06 17:15:00,94.32,0.06,2023-01-06 21:45:00,94.86,0.05,2023-01-06 15:30:00,49
2023-01-07,91.06,0.09,2023-01-07 00:00:00,99.34,0.01,2023-01-07 00:00:00,99.56,0.0,2023-01-07 00:00:00,49
2023-01-08,96.1,0.04,2023-01-08 17:45:00,98.73,0.01,2023-01-08 16:45:00,99.81,0.0,2023-01-08 16:45:00,49
2023-01-09,56.64,0.74,2023-01-09 17:45:00,73.59,0.35,2023-01-09 17:45:00,81.43,0.22,2023-01-09 16:45:00,49
2023-01-10,55.88,0.76,2023-01-10 17:15:00,67.17,0.47,2023-01-10 17:15:00,75.56,0.31,2023-01-10 17:15:00,49
2023-01-11,51.89,0.9,2023-01-11 17:15:00,68.96,0.43,2023-01-11 17:00:00,78.69,0.26,2023-01-11 16:30:00,49
2023-01-12,35.1,1.79,2023-01-12 17:30:00,58.45,0.69,2023-01-12 16:30:00,70.14,0.41,2023-01-12 16:00:00,49
2023-01-13,81.24,0.22,2023-01-13 16:45:00,85.83,0.16,2023-01-13 16:00:00,89.37,0.11,2023-01-13 16:00:00,49
2023-01-14,88.81,0.12,2023-01-14 17:45:00,96.34,0.04,2023-01-14 17:45:00,97.34,0.03,2023-01-14 17:45:00,49
2023-01-15,82.21,0.21,2023-01-15 02:00:00,90.12,0.11,2023-01-15 02:00:00,93.41,0.07,2023-01-15 02:00:00,49
2023-01-16,39.65,1.47,2023-01-16 17:45:00,65.4,0.51,2023-01-16 17:15:00,76.11,0.3,2023-01-16 15:45:00,49
2023-01-17,54.79,0.8,2023-01-17 17:30:00,69.93,0.42,2023-01-17 17:15:00,77.8,0.28,2023-01-17 16:45:00,49
2023-01-18,58.66,0.68,2023-01-18 18:00:00,64.15,0.54,2023-01-18 17:00:00,75.91,0.31,2023-01-18 16:45:00,49
2023-01-19,26.49,2.68,2023-01-19 17:30:00,44.16,1.22,2023-01-19 16:45:00,58.74,0.68,2023-01-19 16:30:00,49
2023-01-20,79.39,0.25,2023-01-20 19:15:00,86.01,0.16,2023-01-20 17:00:00,86.04,0.16,2023-01-20 17:15:00,49
2023-01-21,88.49,0.13,2023-01-21 22:45:00,95.55,0.04,2023-01-21 00:15:00,96.95,0.03,2023-01-21 00:30:00,49
2023-01-22,94.28,0.06,2023-01-22 11:15:00,97.87,0.02,2023-01-22 00:15:00,98.58,0.01,2023-01-22 00:30:00,49
2023-01-23,60.71,0.63,2023-01-23 07:45:00,76.41,0.3,2023-01-23 16:30:00,83.09,0.2,2023-01-23 16:00:00,49
2023-01-24,24.76,2.94,2023-01-24 17:45:00,50.34,0.95,2023-01-24 16:45:00,66.26,0.49,2023-01-24 16:45:00,49
