date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,73.42,0.65,2023-01-01 13:00:00,76.65,0.55,2023-01-01 13:00:00,86.29,0.29,2023-01-01 12:00:00,28
2023-01-02,58.41,1.28,2023-01-02 12:00:00,65.99,0.93,2023-01-02 14:30:00,69.52,0.79,2023-01-02 09:45:00,28
2023-01-03,45.65,2.15,2023-01-03 17:45:00,52.44,1.63,2023-01-03 16:30:00,56.18,1.41,2023-01-03 16:00:00,28
2023-01-04,44.82,2.22,2023-01-04 15:00:00,58.9,1.26,2023-01-04 15:15:00,61.54,1.13,2023-01-04 13:15:00,28
2023-01-05,46.1,2.11,2023-01-05 07:00:00,53.87,1.54,2023-01-05 06:45:00,59.43,1.23,2023-01-05 15:45:00,28
2023-01-06,38.14,2.92,2023-01-06 09:00:00,51.76,1.68,2023-01-06 08:30:00,54.7,1.49,2023-01-06 08:30:00,28
2023-01-07,45.05,2.2,2023-01-07 15:45:00,53.6,1.56,2023-01-07 14:45:00,59.11,1.25,2023-01-07 15:00:00,28
2023-01-08,58.71,1.27,2023-01-08 18:00:00,76.46,0.55,2023-01-08 17:45:00,82.63,0.38,2023-01-08 16:45:00,28
2023-01-09,31.46,3.93,2023-01-09 13:00:00,47.52,1.99,2023-01-09 12:15:00,49.97,1.8,2023-01-09 10:45:00,28
2023-01-10,26.28,5.06,2023-01-10 10:15:00,42.79,2.41,2023-01-10 09:00:00,44.09,2.28,2023-01-10 08:30:00,28
2023-01-11,24.47,5.56,2023-01-11 08:00:00,41.97,2.49,2023-01-11 07:15:00,48.7,1.9,2023-01-11 08:00:00,28
2023-01-12,36.34,3.16,2023-01-12 18:00:00,46.02,2.11,2023-01-12 13:15:00,45.7,2.14,2023-01-12 13:00:00,28
2023-01-13,32.21,3.79,2023-01-13 13:30:00,45.87,2.13,2023-01-13 09:15:00,44.19,2.28,2023-01-13 09:15:00,28
2023-01-14,53.45,1.57,2023-01-14 15:45:00,56.34,1.4,2023-01-14 15:00:00,59.93,1.2,2023-01-14 15:00:00,28
2023-01-15,81.61,0.41,2023-01-15 11:15:00,88.85,0.23,2023-01-15 19:15:00,90.64,0.19,2023-01-15 18:30:00,28
2023-01-16,16.22,9.31,2023-01-16 08:45:00,35.44,3.28,2023-01-16 08:45:00,40.87,2.61,2023-01-16 08:45:00,28
2023-01-17,27.7,4.7,2023-01-17 13:30:00,45.61,2.15,2023-01-17 07:45:00,48.6,1.91,2023-01-17 07:45:00,28
2023-01-18,32.51,3.74,2023-01-18 15:15:00,40.24,2.68,2023-01-18 14:15:00,47.4,2.0,2023-01-18 14:00:00,28
2023-01-19,50.38,1.77,2023-01-19 10:45:00,56.01,1.42,2023-01-19 10:45:00,58.13,1.3,2023-01-19 09:00:00,28
2023-01-20,41.44,2.55,2023-01-20 17:15:00,51.88,1.67,2023-01-20 14:15:00,53.33,1.58,2023-01-20 15:00:00,28
2023-01-21,47.52,1.99,2023-01-21 18:30:00,55.86,1.42,2023-01-21 17:45:00,62.16,1.1,2023-01-21 16:45:00,28
2023-01-22,64.04,1.01,2023-01-22 18:45:00,67.72,0.86,2023-01-22 17:45:00,74.57,0.61,2023-01-22 16:45:00,28
2023-01-23,28.6,4.5,2023-01-23 13:15:00,38.51,2.88,2023-01-23 12:45:00,48.7,1.9,2023-01-23 13:00:00,28
2023-01-24,44.89,2.21,2023-01-24 07:45:00,50.04,1.8,2023-01-24 10:45:00,54.68,1.49,2023-01-24 10:00:00,28
2023-01-25,40.77,2.62,2023-01-25 11:00:00,47.26,2.01,2023-01-25 17:00:00,50.88,1.74,2023-01-25 16:00:00,28
2023-01-26,15.39,9.91,2023-01-26 08:30:00,36.6,3.12,2023-01-26 08:30:00,33.48,3.58,2023-01-26 06:45:00,28
2023-01-27,38.51,2.88,2023-01-27 09:45:00,46.55,2.07,2023-01-27 09:30:00,49.12,1.87,2023-01-27 12:45:00,28
2023-01-28,59.76,1.21,2023-01-28 18:45:00,62.88,1.06,2023-01-28 18:45:00,63.19,1.05,2023-01-28 18:45:00,28
2023-01-29,69.07,0.81,2023-01-29 15:45:00,76.35,0.56,2023-01-29 14:45:00,78.03,0.51,2023-01-29 14:30:00,28
2023-01-30,37.99,2.94,2023-01-30 12:00:00,47.75,1.97,2023-01-30 11:00:00,50.9,1.74,2023-01-30 11:15:00,28
2023-01-31,44.07,2.29,2023-01-31 15:15:00,57.47,1.33,2023-01-31 10:00:00,56.86,1.37,2023-01-31 15:15:00,28
2023-02-01,34.53,3.42,2023-02-01 16:30:00,42.23,2.46,2023-02-01 12:00:00,42.59,2.43,2023-02-01 12:30:00,28
2023-02-02,41.07,2.59,2023-02-02 10:15:00,43.17,2.37,2023-02-02 09:15:00,44.24,2.27,2023-02-02 09:15:00,28
2023-02-03,25.15,5.36,2023-02-03 07:00:00,48.12,1.94,2023-02-03 11:30:00,49.15,1.86,2023-02-03 10:15:00,28
2023-02-04,27.25,4.81,2023-02-04 19:45:00,47.07,2.03,2023-02-04 18:45:00,55.58,1.44,2023-02-04 18:00:00,28
2023-02-05,64.56,0.99,2023-02-05 16:45:00,70.08,0.77,2023-02-05 16:45:00,72.67,0.68,2023-02-05 16:45:00,28
2023-02-06,40.24,2.68,2023-02-06 11:45:00,52.74,1.61,2023-02-06 10:30:00,54.68,1.49,2023-02-06 10:15:00,28
2023-02-07,35.89,3.22,2023-02-07 14:45:00,40.69,2.63,2023-02-07 15:00:00,44.42,2.25,2023-02-07 14:15:00,28
2023-02-08,23.27,5.94,2023-02-08 20:00:00,34.16,3.47,2023-02-08 14:15:00,41.77,2.51,2023-02-08 14:15:00,28
2023-02-09,40.09,2.69,2023-02-09 15:15:00,46.92,2.04,2023-02-09 15:15:00,51.28,1.71,2023-02-09 13:45:00,28
2023-02-10,46.32,2.09,2023-02-10 13:00:00,53.87,1.54,2023-02-10 14:30:00,54.28,1.52,2023-02-10 13:30:00,28
2023-02-11,53.53,1.56,2023-02-11 17:00:00,65.28,0.96,2023-02-11 16:00:00,76.28,0.56,2023-02-11 15:45:00,28
2023-02-12,76.2,0.56,2023-02-12 20:15:00,83.37,0.36,2023-02-12 17:45:00,84.81,0.32,2023-02-12 18:15:00,28
2023-02-13,44.14,2.28,2023-02-13 13:00:00,46.36,2.08,2023-02-13 12:45:00,48.1,1.94,2023-02-13 11:45:00,28
