date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,75.72,0.69,2023-01-01 20:00:00,88.84,0.27,2023-01-01 18:45:00,90.59,0.22,2023-01-01 20:15:00,37
2023-01-02,66.76,1.07,2023-01-02 10:45:00,77.33,0.63,2023-01-02 10:30:00,84.89,0.38,2023-01-02 09:15:00,37
2023-01-03,52.15,1.97,2023-01-03 12:00:00,67.97,1.01,2023-01-03 07:45:00,74.52,0.74,2023-01-03 06:45:00,37
2023-01-04,63.53,1.23,2023-01-04 10:30:00,73.75,0.77,2023-01-04 09:30:00,77.06,0.64,2023-01-04 09:00:00,37
2023-01-05,63.26,1.25,2023-01-05 11:30:00,71.46,0.86,2023-01-05 11:45:00,75.06,0.71,2023-01-05 11:45:00,37
2023-01-06,33.6,4.25,2023-01-06 17:45:00,66.8,1.07,2023-01-06 17:00:00,75.09,0.71,2023-01-06 15:45:00,37
2023-01-07,55.47,1.73,2023-01-07 00:45:00,68.68,0.98,2023-01-07 01:15:00,71.74,0.85,2023-01-07 00:15:00,37
2023-01-08,61.65,1.34,2023-01-08 18:45:00,79.35,0.56,2023-01-08 18:30:00,87.16,0.32,2023-01-08 18:45:00,37
2023-01-09,62.01,1.32,2023-01-09 11:30:00,68.77,0.98,2023-01-09 10:45:00,72.88,0.8,2023-01-09 09:45:00,37
2023-01-10,38.53,3.43,2023-01-10 12:30:00,64.38,1.19,2023-01-10 12:15:00,74.64,0.73,2023-01-10 12:30:00,37
2023-01-11,54.21,1.82,2023-01-11 14:30:00,60.13,1.43,2023-01-11 14:30:00,64.84,1.17,2023-01-11 13:30:00,37
2023-01-12,66.76,1.07,2023-01-12 10:15:00,79.44,0.56,2023-01-12 08:45:00,78.41,0.59,2023-01-12 10:00:00,37
2023-01-13,54.66,1.78,2023-01-13 08:00:00,67.97,1.01,2023-01-13 08:00:00,78.08,0.6,2023-01-13 08:00:00,37
2023-01-14,71.42,0.86,2023-01-14 15:45:00,86.11,0.35,2023-01-14 11:15:00,88.68,0.27,2023-01-14 10:00:00,37
2023-01-15,76.34,0.67,2023-01-15 20:30:00,84.41,0.4,2023-01-15 19:30:00,88.02,0.29,2023-01-15 18:30:00,37
2023-01-16,49.64,2.18,2023-01-16 07:45:00,67.29,1.05,2023-01-16 06:45:00,69.89,0.93,2023-01-16 07:15:00,37
2023-01-17,34.5,4.08,2023-01-17 09:45:00,50.0,2.15,2023-01-17 08:45:00,55.94,1.69,2023-01-17 07:30:00,37
2023-01-18,50.72,2.09,2023-01-18 15:15:00,53.67,1.86,2023-01-18 15:00:00,60.87,1.38,2023-01-18 15:15:00,37
2023-01-19,59.05,1.49,2023-01-19 16:45:00,74.73,0.73,2023-01-19 18:30:00,76.94,0.64,2023-01-19 16:45:00,37
2023-01-20,53.49,1.87,2023-01-20 12:30:00,72.8,0.8,2023-01-20 12:15:00,75.99,0.68,2023-01-20 12:30:00,37
2023-01-21,44.71,2.66,2023-01-21 11:00:00,57.48,1.59,2023-01-21 11:15:00,65.8,1.12,2023-01-21 11:00:00,37
2023-01-22,84.05,0.41,2023-01-22 17:30:00,91.89,0.19,2023-01-22 16:30:00,94.06,0.14,2023-01-22 16:15:00,37
