date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,93.52,0.15,2023-01-01 00:00:00,100.0,0.0,2023-01-01 09:15:00,100.0,0.0,2023-01-01 09:00:00,104
2023-01-02,84.26,0.42,2023-01-02 11:00:00,93.8,0.15,2023-01-02 10:45:00,99.94,0.0,2023-01-02 16:15:00,104
2023-01-03,86.76,0.34,2023-01-03 15:00:00,96.85,0.07,2023-01-03 11:15:00,97.44,0.06,2023-01-03 12:45:00,104
2023-01-04,72.69,0.84,2023-01-04 10:30:00,84.4,0.41,2023-01-04 17:00:00,83.95,0.42,2023-01-04 16:00:00,104
2023-01-05,86.48,0.35,2023-01-05 16:30:00,94.44,0.13,2023-01-05 03:45:00,96.3,0.09,2023-01-05 02:45:00,104
2023-01-06,83.43,0.44,2023-01-06 18:00:00,84.86,0.4,2023-01-06 18:00:00,90.68,0.23,2023-01-06 18:00:00,104
2023-01-07,75.0,0.74,2023-01-07 15:00:00,86.71,0.34,2023-01-07 15:00:00,93.06,0.17,2023-01-07 14:15:00,104
2023-01-08,86.11,0.36,2023-01-08 13:45:00,97.69,0.05,2023-01-08 13:45:00,96.91,0.07,2023-01-08 13:45:00,104
2023-01-09,87.96,0.3,2023-01-09 01:45:00,95.37,0.11,2023-01-09 01:45:00,96.14,0.09,2023-01-09 03:00:00,104
2023-01-10,85.0,0.39,2023-01-10 17:30:00,97.59,0.05,2023-01-10 17:15:00,97.1,0.07,2023-01-10 15:30:00,104
2023-01-11,89.44,0.26,2023-01-11 17:45:00,99.03,0.02,2023-01-11 11:00:00,100.93,-0.02,2023-01-11 00:15:00,104
2023-01-12,76.85,0.67,2023-01-12 12:15:00,92.78,0.17,2023-01-12 16:15:00,97.5,0.06,2023-01-12 15:15:00,104
2023-01-13,82.87,0.46,2023-01-13 11:30:00,97.45,0.06,2023-01-13 19:00:00,100.83,-0.02,2023-01-13 18:00:00,104
2023-01-14,80.56,0.54,2023-01-14 12:15:00,86.81,0.34,2023-01-14 12:15:00,91.2,0.21,2023-01-14 12:15:00,104
2023-01-15,89.81,0.25,2023-01-15 21:15:00,92.27,0.19,2023-01-15 19:45:00,99.48,0.01,2023-01-15 20:00:00,104
2023-01-16,92.13,0.19,2023-01-16 16:45:00,94.95,0.12,2023-01-16 16:30:00,98.06,0.04,2023-01-16 16:30:00,104
2023-01-17,78.06,0.62,2023-01-17 17:00:00,79.81,0.56,2023-01-17 17:00:00,89.04,0.27,2023-01-17 17:00:00,104
2023-01-18,82.69,0.47,2023-01-18 06:45:00,89.95,0.25,2023-01-18 06:00:00,98.4,0.04,2023-01-18 05:45:00,104
2023-01-19,75.28,0.73,2023-01-19 10:30:00,91.57,0.2,2023-01-19 10:30:00,96.79,0.07,2023-01-19 09:45:00,104
2023-01-20,85.0,0.39,2023-01-20 19:00:00,96.99,0.07,2023-01-20 18:00:00,101.3,-0.03,2023-01-20 17:45:00,104
2023-01-21,83.98,0.42,2023-01-21 18:45:00,94.07,0.14,2023-01-21 18:00:00,98.58,0.03,2023-01-21 16:45:00,104
2023-01-22,84.26,0.42,2023-01-22 14:00:00,85.88,0.37,2023-01-22 14:00:00,91.3,0.21,2023-01-22 14:00:00,104
2023-01-23,79.35,0.58,2023-01-23 09:15:00,89.21,0.27,2023-01-23 09:15:00,93.58,0.15,2023-01-23 08:15:00,104
2023-01-24,84.44,0.41,2023-01-24 18:30:00,95.46,0.11,2023-01-24 18:30:00,95.83,0.1,2023-01-24 19:45:00,104
2023-01-25,80.09,0.55,2023-01-25 06:15:00,97.92,0.05,2023-01-25 11:15:00,100.0,0.0,2023-01-25 02:00:00,104
2023-01-26,75.0,0.74,2023-01-26 19:00:00,80.51,0.54,2023-01-26 18:00:00,90.96,0.22,2023-01-26 17:00:00,104
2023-01-27,81.2,0.51,2023-01-27 15:30:00,86.67,0.34,2023-01-27 16:00:00,87.56,0.32,2023-01-27 15:15:00,104
2023-01-28,82.41,0.47,2023-01-28 11:45:00,91.3,0.21,2023-01-28 11:45:00,95.9,0.1,2023-01-28 10:45:00,104
2023-01-29,90.74,0.23,2023-01-29 10:00:00,93.98,0.14,2023-01-29 11:45:00,98.46,0.03,2023-01-29 09:30:00,104
2023-01-30,82.87,0.46,2023-01-30 11:00:00,89.26,0.27,2023-01-30 10:00:00,97.78,0.05,2023-01-30 09:15:00,104
2023-01-31,90.0,0.25,2023-01-31 07:45:00,94.4,0.13,2023-01-31 15:00:00,96.45,0.08,2023-01-31 06:15:00,104
2023-02-01,78.06,0.62,2023-02-01 13:15:00,87.64,0.31,2023-02-01 12:30:00,89.91,0.25,2023-02-01 11:30:00,104
2023-02-02,74.17,0.77,2023-02-02 15:30:00,87.87,0.31,2023-02-02 14:15:00,95.34,0.11,2023-02-02 14:15:00,104
