date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,68.83,0.34,2023-01-01 17:30:00,77.01,0.22,2023-01-01 17:15:00,85.77,0.12,2023-01-01 16:30:00,59
2023-01-02,72.01,0.29,2023-01-02 13:00:00,81.73,0.17,2023-01-02 12:00:00,86.07,0.12,2023-01-02 11:45:00,59
2023-01-03,66.14,0.38,2023-01-03 12:30:00,76.98,0.22,2023-01-03 12:30:00,80.67,0.18,2023-01-03 12:00:00,59
2023-01-04,74.29,0.26,2023-01-04 12:15:00,83.8,0.14,2023-01-04 09:45:00,85.35,0.13,2023-01-04 07:45:00,59
2023-01-05,61.98,0.45,2023-01-05 16:00:00,75.62,0.24,2023-01-05 15:00:00,79.5,0.19,2023-01-05 08:45:00,59
2023-01-06,67.75,0.35,2023-01-06 12:30:00,82.21,0.16,2023-01-06 12:30:00,87.84,0.1,2023-01-06 11:00:00,59
2023-01-07,89.29,0.09,2023-01-07 10:00:00,91.82,0.07,2023-01-07 19:45:00,94.55,0.04,2023-01-07 19:45:00,59
2023-01-08,79.94,0.19,2023-01-08 09:30:00,92.44,0.06,2023-01-08 09:30:00,96.45,0.03,2023-01-08 09:15:00,59
2023-01-09,78.92,0.2,2023-01-09 13:45:00,87.76,0.1,2023-01-09 13:45:00,89.68,0.09,2023-01-09 13:30:00,59
2023-01-10,74.51,0.25,2023-01-10 13:30:00,82.35,0.16,2023-01-10 13:00:00,81.73,0.17,2023-01-10 11:45:00,59
2023-01-11,73.33,0.27,2023-01-11 11:30:00,82.28,0.16,2023-01-11 11:15:00,86.78,0.11,2023-01-11 13:45:00,59
2023-01-12,72.72,0.28,2023-01-12 08:30:00,73.67,0.26,2023-01-12 07:30:00,76.71,0.22,2023-01-12 07:30:00,59
2023-01-13,76.67,0.23,2023-01-13 12:45:00,86.13,0.12,2023-01-13 12:45:00,89.99,0.08,2023-01-13 12:45:00,59
2023-01-14,85.19,0.13,2023-01-14 07:45:00,87.45,0.11,2023-01-14 07:00:00,91.64,0.07,2023-01-14 06:00:00,59
2023-01-15,79.23,0.19,2023-01-15 15:30:00,89.89,0.08,2023-01-15 22:00:00,95.22,0.04,2023-01-15 20:15:00,59
2023-01-16,75.25,0.24,2023-01-16 11:30:00,86.94,0.11,2023-01-16 10:00:00,87.12,0.11,2023-01-16 09:00:00,59
2023-01-17,69.1,0.33,2023-01-17 07:45:00,81.0,0.17,2023-01-17 07:30:00,83.66,0.14,2023-01-17 07:45:00,59
2023-01-18,70.06,0.32,2023-01-18 14:15:00,78.63,0.2,2023-01-18 10:15:00,82.03,0.16,2023-01-18 12:45:00,59
