date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,91.28,0.1,2023-01-01 16:15:00,96.64,0.03,2023-01-01 15:45:00,98.36,0.02,2023-01-01 14:30:00,133
2023-01-02,64.22,0.56,2023-01-02 18:00:00,68.27,0.47,2023-01-02 17:00:00,71.34,0.4,2023-01-02 16:15:00,133
2023-01-03,80.33,0.25,2023-01-03 18:15:00,85.7,0.17,2023-01-03 17:30:00,87.7,0.14,2023-01-03 16:15:00,133
2023-01-04,40.14,1.5,2023-01-04 18:15:00,54.91,0.83,2023-01-04 17:45:00,67.14,0.49,2023-01-04 16:45:00,133
2023-01-05,48.28,1.08,2023-01-05 18:15:00,55.2,0.82,2023-01-05 17:15:00,68.2,0.47,2023-01-05 16:15:00,133
2023-01-06,46.98,1.14,2023-01-06 18:45:00,63.32,0.58,2023-01-06 18:15:00,71.94,0.39,2023-01-06 17:30:00,133
2023-01-07,58.93,0.7,2023-01-07 16:30:00,63.78,0.57,2023-01-07 16:30:00,70.71,0.42,2023-01-07 17:00:00,133
2023-01-08,59.27,0.69,2023-01-08 18:15:00,68.9,0.45,2023-01-08 18:00:00,75.22,0.33,2023-01-08 16:45:00,133
2023-01-09,18.92,4.31,2023-01-09 18:45:00,29.51,2.4,2023-01-09 17:45:00,29.42,2.42,2023-01-09 16:45:00,133
2023-01-10,16.19,5.21,2023-01-10 17:45:00,18.81,4.34,2023-01-10 17:45:00,24.68,3.07,2023-01-10 16:45:00,133
2023-01-11,22.65,3.44,2023-01-11 08:00:00,34.77,1.89,2023-01-11 18:15:00,39.7,1.53,2023-01-11 16:45:00,133
2023-01-12,17.62,4.71,2023-01-12 18:45:00,20.49,3.91,2023-01-12 17:15:00,22.87,3.39,2023-01-12 17:15:00,133
2023-01-13,24.96,3.03,2023-01-13 17:15:00,25.69,2.91,2023-01-13 16:30:00,32.7,2.07,2023-01-13 15:30:00,133
2023-01-14,39.14,1.57,2023-01-14 19:00:00,44.13,1.27,2023-01-14 18:00:00,55.08,0.82,2023-01-14 17:00:00,133
2023-01-15,63.76,0.57,2023-01-15 17:30:00,66.97,0.5,2023-01-15 16:45:00,71.52,0.4,2023-01-15 16:30:00,133
2023-01-16,17.7,4.68,2023-01-16 18:45:00,22.92,3.38,2023-01-16 17:45:00,24.99,3.02,2023-01-16 16:45:00,133
2023-01-17,21.35,3.71,2023-01-17 19:00:00,22.8,3.41,2023-01-17 18:00:00,27.13,2.7,2023-01-17 16:45:00,133
2023-01-18,14.05,6.16,2023-01-18 17:45:00,15.67,5.42,2023-01-18 17:30:00,21.8,3.61,2023-01-18 16:30:00,133
2023-01-19,39.05,1.57,2023-01-19 18:15:00,41.09,1.44,2023-01-19 17:30:00,48.92,1.05,2023-01-19 17:00:00,133
2023-01-20,28.98,2.47,2023-01-20 16:00:00,35.99,1.79,2023-01-20 15:45:00,43.96,1.28,2023-01-20 15:45:00,133
2023-01-21,41.53,1.42,2023-01-21 18:30:00,54.15,0.85,2023-01-21 18:15:00,64.05,0.56,2023-01-21 17:15:00,133
2023-01-22,41.99,1.39,2023-01-22 18:15:00,58.14,0.72,2023-01-22 17:30:00,66.93,0.5,2023-01-22 16:30:00,133
2023-01-23,20.6,3.88,2023-01-23 18:15:00,27.1,2.71,2023-01-23 17:15:00,40.72,1.47,2023-01-23 16:45:00,133
2023-01-24,13.05,6.71,2023-01-24 18:30:00,17.07,4.89,2023-01-24 17:45:00,20.86,3.82,2023-01-24 16:45:00,133
2023-01-25,25.25,2.98,2023-01-25 11:15:00,33.7,1.98,2023-01-25 16:15:00,35.35,1.84,2023-01-25 17:00:00,133
2023-01-26,24.92,3.03,2023-01-26 19:30:00,30.77,2.27,2023-01-26 16:15:00,33.86,1.97,2023-01-26 17:30:00,133
2023-01-27,35.86,1.8,2023-01-27 17:15:00,42.39,1.37,2023-01-27 16:00:00,42.45,1.36,2023-01-27 15:30:00,133
2023-01-28,40.35,1.49,2023-01-28 18:45:00,61.18,0.64,2023-01-28 18:15:00,73.95,0.35,2023-01-28 17:45:00,133
2023-01-29,50.76,0.98,2023-01-29 17:30:00,53.94,0.86,2023-01-29 17:30:00,67.04,0.49,2023-01-29 17:00:00,133
2023-01-30,26.89,2.74,2023-01-30 18:30:00,38.88,1.58,2023-01-30 18:00:00,45.06,1.23,2023-01-30 17:00:00,133
2023-01-31,50.5,0.99,2023-01-31 16:00:00,72.23,0.39,2023-01-31 07:00:00,75.63,0.32,2023-01-31 16:00:00,133
2023-02-01,21.6,3.65,2023-02-01 17:15:00,24.41,3.12,2023-02-01 17:30:00,29.61,2.39,2023-02-01 17:00:00,133
2023-02-02,21.6,3.65,2023-02-02 17:45:00,26.01,2.86,2023-02-02 17:30:00,40.38,1.49,2023-02-02 16:45:00,133
2023-02-03,53.52,0.87,2023-02-03 16:45:00,61.64,0.63,2023-02-03 16:00:00,66.21,0.51,2023-02-03 16:15:00,133
2023-02-04,77.85,0.29,2023-02-04 14:45:00,79.26,0.26,2023-02-04 14:45:00,83.31,0.2,2023-02-04 14:45:00,133
2023-02-05,57.89,0.73,2023-02-05 17:30:00,70.43,0.42,2023-02-05 17:15:00,76.55,0.31,2023-02-05 16:15:00,133
2023-02-06,24.33,3.13,2023-02-06 19:15:00,35.89,1.8,2023-02-06 18:00:00,39.57,1.54,2023-02-06 17:00:00,133
2023-02-07,20.85,3.82,2023-02-07 18:15:00,26.68,2.77,2023-02-07 17:15:00,30.93,2.25,2023-02-07 16:30:00,133
2023-02-08,31.84,2.16,2023-02-08 08:30:00,41.36,1.43,2023-02-08 17:15:00,45.81,1.19,2023-02-08 17:00:00,133
2023-02-09,20.81,3.83,2023-02-09 16:45:00,23.41,3.29,2023-02-09 16:30:00,34.82,1.88,2023-02-09 16:00:00,133
2023-02-10,51.47,0.95,2023-02-10 15:45:00,60.68,0.65,2023-02-10 14:45:00,69.35,0.44,2023-02-10 15:15:00,133
2023-02-11,69.88,0.43,2023-02-11 18:30:00,84.94,0.18,2023-02-11 18:00:00,89.96,0.11,2023-02-11 17:30:00,133
2023-02-12,77.98,0.28,2023-02-12 16:15:00,84.0,0.19,2023-02-12 14:45:00,86.4,0.16,2023-02-12 14:45:00,133
2023-02-13,17.16,4.86,2023-02-13 18:30:00,32.95,2.05,2023-02-13 18:00:00,35.88,1.8,2023-02-13 17:00:00,133
2023-02-14,19.59,4.13,2023-02-14 07:30:00,30.98,2.24,2023-02-14 18:15:00,31.21,2.22,2023-02-14 17:15:00,133
2023-02-15,28.36,2.54,2023-02-15 18:15:00,30.89,2.25,2023-02-15 17:15:00,32.3,2.11,2023-02-15 16:15:00,133
2023-02-16,27.06,2.71,2023-02-16 16:45:00,30.85,2.26,2023-02-16 17:30:00,32.55,2.09,2023-02-16 16:45:00,133
2023-02-17,14.85,5.77,2023-02-17 18:00:00,22.65,3.44,2023-02-17 17:15:00,35.98,1.79,2023-02-17 16:15:00,133
2023-02-18,60.23,0.66,2023-02-18 19:00:00,69.95,0.43,2023-02-18 17:45:00,76.99,0.3,2023-02-18 17:30:00,133
2023-02-19,75.21,0.33,2023-02-19 16:15:00,81.71,0.23,2023-02-19 16:45:00,82.87,0.21,2023-02-19 16:15:00,133
2023-02-20,38.26,1.62,2023-02-20 17:45:00,42.79,1.35,2023-02-20 17:15:00,49.15,1.04,2023-02-20 16:30:00,133
2023-02-21,18.46,4.45,2023-02-21 17:30:00,26.07,2.85,2023-02-21 17:45:00,32.45,2.1,2023-02-21 17:00:00,133
2023-02-22,24.12,3.17,2023-02-22 16:15:00,35.74,1.81,2023-02-22 16:30:00,37.36,1.69,2023-02-22 16:15:00,133
