date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,87.68,0.2,2023-01-01 22:45:00,93.84,0.1,2023-01-01 22:00:00,95.89,0.06,2023-01-01 20:00:00,130
2023-01-02,74.76,0.49,2023-01-02 09:30:00,84.27,0.27,2023-01-02 09:00:00,86.8,0.22,2023-01-02 13:15:00,130
2023-01-03,69.69,0.63,2023-01-03 11:15:00,75.51,0.47,2023-01-03 10:15:00,80.31,0.36,2023-01-03 09:45:00,130
2023-01-04,71.5,0.58,2023-01-04 12:00:00,75.82,0.46,2023-01-04 12:00:00,83.41,0.29,2023-01-04 07:15:00,130
2023-01-05,74.82,0.49,2023-01-05 13:00:00,86.08,0.23,2023-01-05 09:30:00,88.39,0.19,2023-01-05 10:15:00,130
2023-01-06,69.44,0.64,2023-01-06 09:30:00,78.83,0.39,2023-01-06 06:15:00,80.29,0.36,2023-01-06 06:45:00,130
2023-01-07,83.45,0.29,2023-01-07 07:45:00,89.49,0.17,2023-01-07 07:30:00,89.81,0.16,2023-01-07 05:45:00,130
2023-01-08,81.4,0.33,2023-01-08 18:15:00,91.49,0.13,2023-01-08 18:00:00,94.32,0.09,2023-01-08 18:00:00,130
2023-01-09,61.29,0.92,2023-01-09 16:00:00,73.73,0.52,2023-01-09 15:00:00,79.93,0.36,2023-01-09 11:30:00,130
2023-01-10,70.47,0.61,2023-01-10 16:15:00,83.18,0.29,2023-01-10 02:15:00,85.39,0.25,2023-01-10 01:15:00,130
2023-01-11,64.79,0.79,2023-01-11 13:00:00,69.66,0.63,2023-01-11 12:00:00,75.91,0.46,2023-01-11 12:00:00,130
2023-01-12,74.76,0.49,2023-01-12 19:00:00,85.39,0.25,2023-01-12 09:00:00,89.67,0.17,2023-01-12 17:00:00,130
2023-01-13,67.27,0.71,2023-01-13 10:45:00,76.84,0.44,2023-01-13 09:45:00,82.95,0.3,2023-01-13 09:45:00,130
