date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,63.15,1.14,2023-01-01 17:45:00,78.27,0.54,2023-01-01 16:15:00,82.73,0.41,2023-01-01 16:00:00,112
2023-01-02,62.17,1.19,2023-01-02 16:45:00,77.53,0.57,2023-01-02 16:45:00,83.99,0.37,2023-01-02 15:45:00,112
2023-01-03,23.69,6.32,2023-01-03 08:30:00,46.08,2.29,2023-01-03 07:30:00,62.66,1.17,2023-01-03 07:30:00,112
2023-01-04,33.01,3.98,2023-01-04 08:15:00,46.73,2.24,2023-01-04 17:15:00,51.01,1.88,2023-01-04 16:30:00,112
2023-01-05,17.08,9.52,2023-01-05 18:00:00,30.02,4.57,2023-01-05 17:15:00,42.97,2.6,2023-01-05 16:15:00,112
2023-01-06,33.58,3.88,2023-01-06 08:15:00,63.4,1.13,2023-01-06 07:15:00,72.93,0.73,2023-01-06 06:30:00,112
2023-01-07,48.28,2.1,2023-01-07 16:15:00,55.02,1.6,2023-01-07 17:30:00,54.82,1.62,2023-01-07 16:30:00,112
2023-01-08,50.98,1.89,2023-01-08 17:00:00,60.66,1.27,2023-01-08 15:45:00,65.63,1.03,2023-01-08 14:45:00,112
2023-01-09,26.23,5.52,2023-01-09 07:45:00,31.25,4.31,2023-01-09 07:45:00,45.89,2.31,2023-01-09 07:00:00,112
2023-01-10,25.0,5.88,2023-01-10 08:15:00,28.19,5.0,2023-01-10 08:15:00,37.17,3.31,2023-01-10 07:15:00,112
2023-01-11,28.19,5.0,2023-01-11 08:15:00,35.25,3.6,2023-01-11 07:45:00,48.26,2.1,2023-01-11 07:45:00,112
2023-01-12,22.39,6.8,2023-01-12 08:45:00,25.29,5.79,2023-01-12 07:45:00,43.65,2.53,2023-01-12 07:45:00,112
2023-01-13,24.02,6.2,2023-01-13 11:45:00,40.73,2.85,2023-01-13 12:00:00,46.79,2.23,2023-01-13 11:00:00,112
2023-01-14,14.79,11.3,2023-01-14 19:00:00,18.55,8.61,2023-01-14 18:00:00,24.16,6.16,2023-01-14 17:45:00,112
2023-01-15,29.33,4.72,2023-01-15 16:30:00,39.09,3.05,2023-01-15 15:30:00,43.36,2.56,2023-01-15 14:30:00,112
2023-01-16,22.3,6.83,2023-01-16 08:30:00,23.16,6.5,2023-01-16 07:45:00,40.36,2.9,2023-01-16 06:45:00,112
2023-01-17,23.2,6.49,2023-01-17 08:00:00,25.82,5.63,2023-01-17 08:00:00,31.37,4.29,2023-01-17 07:30:00,112
2023-01-18,23.53,6.37,2023-01-18 17:45:00,24.02,6.2,2023-01-18 17:45:00,26.61,5.41,2023-01-18 17:15:00,112
2023-01-19,48.53,2.08,2023-01-19 07:30:00,63.24,1.14,2023-01-19 07:15:00,71.19,0.79,2023-01-19 07:15:00,112
2023-01-20,27.21,5.25,2023-01-20 17:30:00,34.97,3.65,2023-01-20 16:30:00,39.54,3.0,2023-01-20 16:30:00,112
2023-01-21,62.83,1.16,2023-01-21 16:15:00,71.85,0.77,2023-01-21 15:30:00,75.65,0.63,2023-01-21 15:30:00,112
2023-01-22,61.11,1.25,2023-01-22 17:00:00,72.67,0.74,2023-01-22 17:00:00,76.99,0.59,2023-01-22 14:30:00,112
2023-01-23,28.02,5.04,2023-01-23 08:00:00,34.8,3.67,2023-01-23 08:00:00,39.87,2.96,2023-01-23 07:15:00,112
2023-01-24,27.94,5.06,2023-01-24 08:15:00,38.81,3.09,2023-01-24 07:30:00,55.07,1.6,2023-01-24 07:15:00,112
2023-01-25,23.28,6.46,2023-01-25 18:00:00,25.25,5.81,2023-01-25 17:15:00,38.78,3.1,2023-01-25 16:00:00,112
2023-01-26,21.49,7.16,2023-01-26 07:45:00,32.88,4.0,2023-01-26 07:15:00,39.81,2.96,2023-01-26 16:00:00,112
2023-01-27,46.98,2.21,2023-01-27 18:00:00,55.15,1.59,2023-01-27 16:45:00,60.78,1.27,2023-01-27 17:30:00,112
2023-01-28,26.63,5.4,2023-01-28 16:00:00,37.13,3.32,2023-01-28 16:00:00,44.09,2.49,2023-01-28 15:15:00,112
2023-01-29,28.35,4.96,2023-01-29 16:00:00,32.64,4.05,2023-01-29 15:45:00,43.25,2.57,2023-01-29 15:15:00,112
2023-01-30,22.71,6.67,2023-01-30 08:15:00,33.7,3.86,2023-01-30 07:30:00,53.21,1.72,2023-01-30 07:30:00,112
2023-01-31,30.07,4.56,2023-01-31 17:00:00,34.07,3.79,2023-01-31 16:00:00,46.92,2.22,2023-01-31 15:45:00,112
2023-02-01,21.65,7.1,2023-02-01 08:00:00,25.86,5.62,2023-02-01 07:15:00,29.47,4.69,2023-02-01 17:00:00,112
