date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,90.88,0.06,2023-01-01 08:15:00,98.0,0.01,2023-01-01 08:00:00,100.59,-0.0,2023-01-01 00:00:00,2061
2023-01-02,80.98,0.13,2023-01-02 02:00:00,83.58,0.11,2023-01-02 02:00:00,85.41,0.1,2023-01-02 02:15:00,2061
2023-01-03,71.64,0.23,2023-01-03 07:45:00,80.29,0.14,2023-01-03 07:00:00,86.21,0.09,2023-01-03 06:15:00,2061
2023-01-04,82.26,0.12,2023-01-04 07:30:00,85.07,0.1,2023-01-04 03:00:00,86.95,0.09,2023-01-04 01:30:00,2061
2023-01-05,75.26,0.19,2023-01-05 08:00:00,77.85,0.16,2023-01-05 07:15:00,83.52,0.11,2023-01-05 06:15:00,2061
2023-01-06,33.9,1.11,2023-01-06 07:30:00,59.05,0.4,2023-01-06 07:00:00,69.8,0.25,2023-01-06 07:15:00,2061
2023-01-07,88.55,0.07,2023-01-07 04:45:00,90.07,0.06,2023-01-07 00:00:00,92.56,0.05,2023-01-07 00:30:00,2061
2023-01-08,92.07,0.05,2023-01-08 10:30:00,99.54,0.0,2023-01-08 22:00:00,100.9,-0.01,2023-01-08 20:45:00,2061
2023-01-09,68.24,0.27,2023-01-09 07:45:00,74.67,0.19,2023-01-09 07:15:00,79.61,0.15,2023-01-09 06:45:00,2061
2023-01-10,55.1,0.47,2023-01-10 08:15:00,66.64,0.29,2023-01-10 07:15:00,75.65,0.18,2023-01-10 06:30:00,2061
2023-01-11,39.88,0.86,2023-01-11 07:45:00,55.26,0.46,2023-01-11 07:15:00,65.59,0.3,2023-01-11 06:15:00,2061
2023-01-12,65.14,0.31,2023-01-12 08:00:00,68.94,0.26,2023-01-12 07:15:00,77.22,0.17,2023-01-12 06:15:00,2061
2023-01-13,71.45,0.23,2023-01-13 07:30:00,78.37,0.16,2023-01-13 07:00:00,83.24,0.12,2023-01-13 06:15:00,2061
2023-01-14,88.57,0.07,2023-01-14 04:00:00,89.93,0.06,2023-01-14 01:45:00,90.25,0.06,2023-01-14 04:00:00,2061
2023-01-15,82.74,0.12,2023-01-15 00:30:00,88.33,0.08,2023-01-15 00:15:00,92.12,0.05,2023-01-15 00:15:00,2061
2023-01-16,60.0,0.38,2023-01-16 07:45:00,64.18,0.32,2023-01-16 07:30:00,69.74,0.25,2023-01-16 06:30:00,2061
2023-01-17,74.81,0.19,2023-01-17 07:45:00,77.29,0.17,2023-01-17 07:15:00,80.68,0.14,2023-01-17 06:30:00,2061
2023-01-18,77.64,0.16,2023-01-18 07:45:00,82.44,0.12,2023-01-18 06:45:00,86.46,0.09,2023-01-18 06:15:00,2061
2023-01-19,85.33,0.1,2023-01-19 07:15:00,88.31,0.08,2023-01-19 07:15:00,89.98,0.06,2023-01-19 06:00:00,2061
2023-01-20,70.48,0.24,2023-01-20 07:45:00,78.43,0.16,2023-01-20 07:00:00,83.17,0.12,2023-01-20 06:30:00,2061
2023-01-21,84.45,0.11,2023-01-21 03:30:00,90.55,0.06,2023-01-21 03:00:00,92.01,0.05,2023-01-21 03:15:00,2061
2023-01-22,98.21,0.01,2023-01-22 00:00:00,99.68,0.0,2023-01-22 03:15:00,101.23,-0.01,2023-01-22 02:30:00,2061
2023-01-23,65.14,0.31,2023-01-23 08:00:00,71.27,0.23,2023-01-23 07:15:00,78.52,0.16,2023-01-23 07:00:00,2061
2023-01-24,69.52,0.25,2023-01-24 08:00:00,76.08,0.18,2023-01-24 07:15:00,81.6,0.13,2023-01-24 07:15:00,2061
2023-01-25,78.4,0.16,2023-01-25 07:30:00,84.12,0.11,2023-01-25 06:45:00,88.21,0.08,2023-01-25 07:00:00,2061
2023-01-26,71.86,0.22,2023-01-26 07:30:00,74.42,0.2,2023-01-26 07:15:00,79.06,0.15,2023-01-26 06:30:00,2061
2023-01-27,76.83,0.17,2023-01-27 07:30:00,81.67,0.13,2023-01-27 07:00:00,85.54,0.1,2023-01-27 06:45:00,2061
2023-01-28,88.43,0.07,2023-01-28 04:30:00,90.27,0.06,2023-01-28 03:30:00,92.03,0.05,2023-01-28 02:45:00,2061
2023-01-29,94.88,0.03,2023-01-29 03:15:00,97.4,0.02,2023-01-29 03:45:00,98.84,0.01,2023-01-29 03:00:00,2061
2023-01-30,64.93,0.31,2023-01-30 08:00:00,69.79,0.25,2023-01-30 07:15:00,76.9,0.17,2023-01-30 06:30:00,2061
2023-01-31,76.69,0.17,2023-01-31 07:30:00,82.1,0.12,2023-01-31 07:00:00,85.87,0.09,2023-01-31 06:15:00,2061
2023-02-01,85.79,0.09,2023-02-01 07:15:00,89.25,0.07,2023-02-01 06:45:00,90.29,0.06,2023-02-01 05:45:00,2061
2023-02-02,73.26,0.21,2023-02-02 07:30:00,78.88,0.15,2023-02-02 07:00:00,83.48,0.11,2023-02-02 06:30:00,2061
2023-02-03,75.21,0.19,2023-02-03 07:45:00,78.39,0.16,2023-02-03 07:00:00,83.59,0.11,2023-02-03 06:30:00,2061
2023-02-04,84.4,0.11,2023-02-04 01:15:00,88.27,0.08,2023-02-04 01:30:00,87.63,0.08,2023-02-04 01:15:00,2061
2023-02-05,98.76,0.01,2023-02-05 22:30:00,101.07,-0.01,2023-02-05 02:30:00,102.4,-0.01,2023-02-05 06:30:00,2061
2023-02-06,82.48,0.12,2023-02-06 08:45:00,86.67,0.09,2023-02-06 03:00:00,88.32,0.08,2023-02-06 02:15:00,2061
2023-02-07,73.95,0.2,2023-02-07 07:45:00,79.7,0.15,2023-02-07 07:00:00,83.79,0.11,2023-02-07 07:00:00,2061
2023-02-08,79.64,0.15,2023-02-08 08:00:00,84.02,0.11,2023-02-08 07:00:00,87.74,0.08,2023-02-08 06:15:00,2061
2023-02-09,71.76,0.22,2023-02-09 08:00:00,76.44,0.18,2023-02-09 07:15:00,81.48,0.13,2023-02-09 06:30:00,2061
2023-02-10,74.95,0.19,2023-02-10 07:15:00,82.56,0.12,2023-02-10 07:00:00,85.58,0.1,2023-02-10 06:00:00,2061
2023-02-11,84.86,0.1,2023-02-11 04:30:00,88.17,0.08,2023-02-11 01:00:00,89.53,0.07,2023-02-11 00:30:00,2061
2023-02-12,96.43,0.02,2023-02-12 22:45:00,99.23,0.0,2023-02-12 21:45:00,102.79,-0.02,2023-02-12 01:30:00,2061
2023-02-13,78.79,0.15,2023-02-13 07:15:00,82.24,0.12,2023-02-13 07:00:00,85.67,0.1,2023-02-13 06:45:00,2061
2023-02-14,60.69,0.37,2023-02-14 07:45:00,63.21,0.33,2023-02-14 07:15:00,72.29,0.22,2023-02-14 06:30:00,2061
2023-02-15,73.5,0.21,2023-02-15 07:30:00,81.18,0.13,2023-02-15 06:45:00,86.04,0.09,2023-02-15 05:45:00,2061
2023-02-16,73.12,0.21,2023-02-16 07:15:00,79.68,0.15,2023-02-16 07:00:00,84.06,0.11,2023-02-16 07:00:00,2061
2023-02-17,63.83,0.32,2023-02-17 08:45:00,78.08,0.16,2023-02-17 08:00:00,81.73,0.13,2023-02-17 06:45:00,2061
2023-02-18,89.24,0.07,2023-02-18 01:45:00,93.1,0.04,2023-02-18 00:45:00,94.38,0.03,2023-02-18 01:45:00,2061
2023-02-19,90.4,0.06,2023-02-19 04:00:00,94.69,0.03,2023-02-19 03:30:00,97.66,0.01,2023-02-19 02:00:00,2061
2023-02-20,85.38,0.1,2023-02-20 01:00:00,87.79,0.08,2023-02-20 00:45:00,91.32,0.05,2023-02-20 00:30:00,2061
2023-02-21,75.57,0.18,2023-02-21 07:30:00,82.86,0.12,2023-02-21 07:00:00,86.34,0.09,2023-02-21 06:15:00,2061
2023-02-22,84.93,0.1,2023-02-22 01:00:00,86.75,0.09,2023-02-22 01:00:00,88.71,0.07,2023-02-22 01:00:00,2061
2023-02-23,83.43,0.11,2023-02-23 00:45:00,86.92,0.09,2023-02-23 00:00:00,88.31,0.08,2023-02-23 00:45:00,2061
2023-02-24,82.98,0.12,2023-02-24 00:45:00,92.23,0.05,2023-02-24 00:45:00,92.79,0.04,2023-02-24 00:45:00,2061
2023-02-25,86.02,0.09,2023-02-25 01:45:00,89.08,0.07,2023-02-25 01:30:00,90.63,0.06,2023-02-25 01:00:00,2061
