date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,79.63,0.47,2023-01-01 16:30:00,89.81,0.21,2023-01-01 15:30:00,93.78,0.12,2023-01-01 18:30:00,20
2023-01-02,30.25,4.27,2023-01-02 15:15:00,36.42,3.23,2023-01-02 15:15:00,48.56,1.96,2023-01-02 14:15:00,20
2023-01-03,42.28,2.53,2023-01-03 17:45:00,54.82,1.53,2023-01-03 16:45:00,60.52,1.21,2023-01-03 15:45:00,20
2023-01-04,55.17,1.5,2023-01-04 15:30:00,56.75,1.41,2023-01-04 15:00:00,64.81,1.01,2023-01-04 14:00:00,20
2023-01-05,46.14,2.16,2023-01-05 18:00:00,52.7,1.66,2023-01-05 17:00:00,61.32,1.17,2023-01-05 16:15:00,20
2023-01-06,45.29,2.24,2023-01-06 12:00:00,51.74,1.73,2023-01-06 16:15:00,57.18,1.39,2023-01-06 15:15:00,20
2023-01-07,43.44,2.41,2023-01-07 11:30:00,52.62,1.67,2023-01-07 10:45:00,60.08,1.23,2023-01-07 14:45:00,20
2023-01-08,61.65,1.15,2023-01-08 11:00:00,72.03,0.72,2023-01-08 11:00:00,79.09,0.49,2023-01-08 10:15:00,20
2023-01-09,48.38,1.98,2023-01-09 16:45:00,53.9,1.58,2023-01-09 16:00:00,57.46,1.37,2023-01-09 14:45:00,20
2023-01-10,53.7,1.6,2023-01-10 17:30:00,62.15,1.13,2023-01-10 16:45:00,68.39,0.86,2023-01-10 15:30:00,20
2023-01-11,47.61,2.04,2023-01-11 15:45:00,55.52,1.48,2023-01-11 12:00:00,57.56,1.37,2023-01-11 15:00:00,20
2023-01-12,41.9,2.57,2023-01-12 18:15:00,48.23,1.99,2023-01-12 17:15:00,51.26,1.76,2023-01-12 10:00:00,20
2023-01-13,35.11,3.42,2023-01-13 16:15:00,42.63,2.49,2023-01-13 15:15:00,51.29,1.76,2023-01-13 15:15:00,20
2023-01-14,45.91,2.18,2023-01-14 10:30:00,57.87,1.35,2023-01-14 14:15:00,66.26,0.94,2023-01-14 13:45:00,20
2023-01-15,76.85,0.56,2023-01-15 17:45:00,86.34,0.29,2023-01-15 09:45:00,87.4,0.27,2023-01-15 15:30:00,20
2023-01-16,53.47,1.61,2023-01-16 17:15:00,64.31,1.03,2023-01-16 17:15:00,71.97,0.72,2023-01-16 16:15:00,20
2023-01-17,59.34,1.27,2023-01-17 12:15:00,66.24,0.94,2023-01-17 16:15:00,66.36,0.94,2023-01-17 16:15:00,20
2023-01-18,43.83,2.37,2023-01-18 15:15:00,52.24,1.69,2023-01-18 14:15:00,58.41,1.32,2023-01-18 15:00:00,20
