date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,95.68,0.03,2023-01-01 20:30:00,99.92,0.0,2023-01-01 06:45:00,99.95,0.0,2023-01-01 06:15:00,565
2023-01-02,97.35,0.02,2023-01-02 15:45:00,100.77,-0.01,2023-01-02 10:00:00,101.81,-0.01,2023-01-02 09:00:00,565
2023-01-03,92.84,0.06,2023-01-03 00:00:00,99.31,0.01,2023-01-03 02:30:00,101.0,-0.01,2023-01-03 01:45:00,565
2023-01-04,94.97,0.04,2023-01-04 00:00:00,99.41,0.0,2023-01-04 02:00:00,100.06,-0.0,2023-01-04 00:00:00,565
2023-01-05,96.85,0.02,2023-01-05 09:00:00,100.46,-0.0,2023-01-05 00:30:00,101.29,-0.01,2023-01-05 04:30:00,565
2023-01-06,95.9,0.03,2023-01-06 05:30:00,98.52,0.01,2023-01-06 05:00:00,100.95,-0.01,2023-01-06 03:45:00,565
2023-01-07,99.54,0.0,2023-01-07 06:15:00,99.77,0.0,2023-01-07 02:30:00,100.74,-0.01,2023-01-07 01:45:00,565
2023-01-08,98.3,0.01,2023-01-08 10:00:00,98.58,0.01,2023-01-08 09:00:00,100.99,-0.01,2023-01-08 08:00:00,565
2023-01-09,95.15,0.04,2023-01-09 18:15:00,99.63,0.0,2023-01-09 17:15:00,101.27,-0.01,2023-01-09 16:15:00,565
2023-01-10,98.83,0.01,2023-01-10 00:30:00,100.65,-0.0,2023-01-10 00:30:00,100.43,-0.0,2023-01-10 00:30:00,565
2023-01-11,89.66,0.09,2023-01-11 00:00:00,97.27,0.02,2023-01-11 04:30:00,97.21,0.02,2023-01-11 03:45:00,565
2023-01-12,99.07,0.01,2023-01-12 01:30:00,100.68,-0.0,2023-01-12 04:45:00,102.0,-0.01,2023-01-12 04:30:00,565
2023-01-13,95.34,0.04,2023-01-13 05:30:00,98.86,0.01,2023-01-13 04:30:00,100.82,-0.01,2023-01-13 04:00:00,565
2023-01-14,80.03,0.18,2023-01-14 20:15:00,92.15,0.06,2023-01-14 20:00:00,96.42,0.03,2023-01-14 19:45:00,565
2023-01-15,92.59,0.06,2023-01-15 01:15:00,97.25,0.02,2023-01-15 00:15:00,100.51,-0.0,2023-01-15 03:15:00,565
2023-01-16,17.84,3.41,2023-01-16 13:15:00,29.32,1.79,2023-01-16 12:45:00,54.08,0.63,2023-01-16 12:45:00,565
2023-01-17,95.49,0.03,2023-01-17 17:45:00,97.1,0.02,2023-01-17 17:30:00,99.55,0.0,2023-01-17 16:30:00,565
2023-01-18,92.62,0.06,2023-01-18 10:00:00,96.68,0.03,2023-01-18 09:15:00,99.18,0.01,2023-01-18 08:15:00,565
2023-01-19,57.1,0.56,2023-01-19 18:30:00,71.67,0.29,2023-01-19 18:00:00,81.39,0.17,2023-01-19 17:45:00,565
2023-01-20,92.75,0.06,2023-01-20 00:15:00,95.06,0.04,2023-01-20 00:30:00,96.09,0.03,2023-01-20 00:30:00,565
2023-01-21,96.91,0.02,2023-01-21 02:45:00,100.62,-0.0,2023-01-21 01:30:00,102.11,-0.02,2023-01-21 01:00:00,565
2023-01-22,99.54,0.0,2023-01-22 19:30:00,105.15,-0.04,2023-01-22 16:00:00,107.61,-0.05,2023-01-22 15:30:00,565
2023-01-23,99.6,0.0,2023-01-23 11:45:00,101.42,-0.01,2023-01-23 11:30:00,103.14,-0.02,2023-01-23 01:00:00,565
2023-01-24,94.14,0.05,2023-01-24 00:00:00,100.77,-0.01,2023-01-24 00:00:00,102.11,-0.02,2023-01-24 00:00:00,565
2023-01-25,100.06,-0.0,2023-01-25 09:00:00,101.57,-0.01,2023-01-25 08:30:00,102.22,-0.02,2023-01-25 08:30:00,565
2023-01-26,98.24,0.01,2023-01-26 00:00:00,102.81,-0.02,2023-01-26 05:15:00,103.81,-0.03,2023-01-26 08:30:00,565
2023-01-27,98.77,0.01,2023-01-27 00:00:00,102.93,-0.02,2023-01-27 00:00:00,104.38,-0.03,2023-01-27 08:00:00,565
2023-01-28,97.69,0.02,2023-01-28 01:45:00,98.26,0.01,2023-01-28 00:45:00,98.65,0.01,2023-01-28 00:00:00,565
2023-01-29,100.0,0.0,2023-01-29 03:00:00,103.55,-0.03,2023-01-29 02:45:00,103.4,-0.02,2023-01-29 03:00:00,565
2023-01-30,97.38,0.02,2023-01-30 01:30:00,102.44,-0.02,2023-01-30 05:30:00,103.33,-0.02,2023-01-30 05:30:00,565
2023-01-31,95.68,0.03,2023-01-31 00:00:00,104.61,-0.03,2023-01-31 08:15:00,105.28,-0.04,2023-01-31 09:45:00,565
2023-02-01,100.15,-0.0,2023-02-01 22:45:00,102.62,-0.02,2023-02-01 01:15:00,104.15,-0.03,2023-02-01 09:00:00,565
2023-02-02,34.23,1.42,2023-02-02 18:15:00,50.14,0.74,2023-02-02 18:00:00,66.9,0.37,2023-02-02 18:00:00,565
2023-02-03,99.38,0.0,2023-02-03 04:30:00,100.35,-0.0,2023-02-03 04:15:00,101.67,-0.01,2023-02-03 04:00:00,565
2023-02-04,96.05,0.03,2023-02-04 00:00:00,103.83,-0.03,2023-02-04 02:45:00,105.53,-0.04,2023-02-04 01:45:00,565
2023-02-05,100.0,0.0,2023-02-05 03:30:00,101.7,-0.01,2023-02-05 02:30:00,102.91,-0.02,2023-02-05 02:30:00,565
2023-02-06,69.97,0.32,2023-02-06 14:30:00,72.79,0.28,2023-02-06 13:45:00,76.04,0.23,2023-02-06 12:45:00,565
2023-02-07,59.66,0.5,2023-02-07 09:30:00,62.39,0.45,2023-02-07 13:30:00,64.94,0.4,2023-02-07 12:45:00,565
2023-02-08,42.96,0.98,2023-02-08 13:15:00,54.46,0.62,2023-02-08 13:15:00,58.63,0.52,2023-02-08 12:30:00,565
2023-02-09,45.86,0.87,2023-02-09 14:45:00,55.12,0.6,2023-02-09 14:00:00,62.09,0.45,2023-02-09 13:00:00,565
2023-02-10,39.97,1.11,2023-02-10 13:30:00,46.02,0.87,2023-02-10 13:15:00,54.83,0.61,2023-02-10 12:15:00,565
2023-02-11,98.4,0.01,2023-02-11 15:00:00,100.0,0.0,2023-02-11 03:00:00,100.31,-0.0,2023-02-11 02:00:00,565
2023-02-12,98.15,0.01,2023-02-12 03:45:00,101.31,-0.01,2023-02-12 03:15:00,104.74,-0.03,2023-02-12 18:00:00,565
2023-02-13,53.18,0.65,2023-02-13 09:00:00,64.31,0.41,2023-02-13 12:45:00,67.2,0.36,2023-02-13 12:00:00,565
2023-02-14,96.39,0.03,2023-02-14 10:45:00,99.27,0.01,2023-02-14 10:45:00,100.92,-0.01,2023-02-14 09:15:00,565
2023-02-15,92.81,0.06,2023-02-15 01:30:00,96.94,0.02,2023-02-15 00:30:00,99.69,0.0,2023-02-15 00:30:00,565
2023-02-16,97.99,0.02,2023-02-16 01:00:00,99.2,0.01,2023-02-16 00:00:00,101.44,-0.01,2023-02-16 09:00:00,565
2023-02-17,98.89,0.01,2023-02-17 00:00:00,104.68,-0.03,2023-02-17 06:15:00,104.96,-0.03,2023-02-17 02:45:00,565
2023-02-18,98.8,0.01,2023-02-18 09:45:00,103.04,-0.02,2023-02-18 10:00:00,103.91,-0.03,2023-02-18 07:45:00,565
2023-02-19,101.88,-0.01,2023-02-19 18:45:00,104.54,-0.03,2023-02-19 19:00:00,105.27,-0.04,2023-02-19 15:00:00,565
2023-02-20,99.23,0.01,2023-02-20 00:00:00,102.08,-0.02,2023-02-20 01:15:00,103.24,-0.02,2023-02-20 00:45:00,565
2023-02-21,99.66,0.0,2023-02-21 15:00:00,100.4,-0.0,2023-02-21 00:15:00,102.95,-0.02,2023-02-21 08:30:00,565
2023-02-22,94.35,0.04,2023-02-22 00:30:00,97.96,0.02,2023-02-22 00:00:00,101.18,-0.01,2023-02-22 00:00:00,565
2023-02-23,95.52,0.03,2023-02-23 00:15:00,99.86,0.0,2023-02-23 00:00:00,102.06,-0.01,2023-02-23 00:15:00,565
2023-02-24,95.46,0.04,2023-02-24 01:00:00,98.56,0.01,2023-02-24 00:30:00,101.6,-0.01,2023-02-24 00:30:00,565
2023-02-25,96.3,0.03,2023-02-25 01:15:00,105.86,-0.04,2023-02-25 00:00:00,107.08,-0.05,2023-02-25 08:30:00,565
2023-02-26,100.0,0.0,2023-02-26 05:30:00,105.56,-0.04,2023-02-26 04:45:00,104.75,-0.03,2023-02-26 03:30:00,565
2023-02-27,94.23,0.05,2023-02-27 05:00:00,101.7,-0.01,2023-02-27 04:00:00,103.03,-0.02,2023-02-27 03:00:00,565
2023-02-28,93.36,0.05,2023-02-28 01:15:00,101.05,-0.01,2023-02-28 00:30:00,103.81,-0.03,2023-02-28 09:30:00,565
2023-03-01,97.35,0.02,2023-03-01 21:30:00,100.2,-0.0,2023-03-01 04:30:00,101.64,-0.01,2023-03-01 00:15:00,565
