date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,52.7,1.66,2023-01-01 18:30:00,66.4,0.94,2023-01-01 20:00:00,72.63,0.7,2023-01-01 19:00:00,22
2023-01-02,43.83,2.37,2023-01-02 17:30:00,48.46,1.97,2023-01-02 17:15:00,58.87,1.29,2023-01-02 15:30:00,22
2023-01-03,52.85,1.65,2023-01-03 07:30:00,69.21,0.82,2023-01-03 09:30:00,68.88,0.84,2023-01-03 07:30:00,22
2023-01-04,39.97,2.78,2023-01-04 18:30:00,60.07,1.23,2023-01-04 17:30:00,65.84,0.96,2023-01-04 16:45:00,22
2023-01-05,52.85,1.65,2023-01-05 08:45:00,62.65,1.1,2023-01-05 07:45:00,65.1,0.99,2023-01-05 06:45:00,22
2023-01-06,44.37,2.32,2023-01-06 06:30:00,56.94,1.4,2023-01-06 10:45:00,59.57,1.26,2023-01-06 09:45:00,22
2023-01-07,64.35,1.03,2023-01-07 12:00:00,75.73,0.59,2023-01-07 14:00:00,77.34,0.54,2023-01-07 21:00:00,22
2023-01-08,43.13,2.44,2023-01-08 16:30:00,62.65,1.1,2023-01-08 16:15:00,68.7,0.84,2023-01-08 16:30:00,22
2023-01-09,19.98,7.41,2023-01-09 15:15:00,23.26,6.11,2023-01-09 14:15:00,31.15,4.09,2023-01-09 14:15:00,22
2023-01-10,34.1,3.58,2023-01-10 18:45:00,40.66,2.7,2023-01-10 17:30:00,42.49,2.51,2023-01-10 16:45:00,22
2023-01-11,28.7,4.6,2023-01-11 19:00:00,34.92,3.45,2023-01-11 18:00:00,41.05,2.66,2023-01-11 17:00:00,22
2023-01-12,48.69,1.95,2023-01-12 17:15:00,55.05,1.51,2023-01-12 16:30:00,59.77,1.25,2023-01-12 15:45:00,22
2023-01-13,41.74,2.58,2023-01-13 17:15:00,60.61,1.2,2023-01-13 07:45:00,66.23,0.94,2023-01-13 06:30:00,22
2023-01-14,42.67,2.49,2023-01-14 11:00:00,58.76,1.3,2023-01-14 19:30:00,61.91,1.14,2023-01-14 09:15:00,22
2023-01-15,49.07,1.92,2023-01-15 17:00:00,58.14,1.33,2023-01-15 19:15:00,63.5,1.06,2023-01-15 19:15:00,22
2023-01-16,40.28,2.75,2023-01-16 17:30:00,48.92,1.93,2023-01-16 17:45:00,56.22,1.44,2023-01-16 16:45:00,22
2023-01-17,36.34,3.24,2023-01-17 19:15:00,47.3,2.06,2023-01-17 16:30:00,47.61,2.04,2023-01-17 17:00:00,22
2023-01-18,17.98,8.45,2023-01-18 19:00:00,27.04,5.0,2023-01-18 18:15:00,28.11,4.74,2023-01-18 17:15:00,22
2023-01-19,32.56,3.84,2023-01-19 13:45:00,39.7,2.81,2023-01-19 13:00:00,46.48,2.13,2023-01-19 13:00:00,22
2023-01-20,63.12,1.08,2023-01-20 09:15:00,71.03,0.76,2023-01-20 09:30:00,74.15,0.65,2023-01-20 09:00:00,22
2023-01-21,41.82,2.58,2023-01-21 14:45:00,53.4,1.62,2023-01-21 13:45:00,57.28,1.38,2023-01-21 13:45:00,22
2023-01-22,46.45,2.13,2023-01-22 17:30:00,47.26,2.07,2023-01-22 17:30:00,55.71,1.47,2023-01-22 16:45:00,22
2023-01-23,39.12,2.88,2023-01-23 17:00:00,49.04,1.92,2023-01-23 16:45:00,55.43,1.49,2023-01-23 15:45:00,22
