date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,73.15,0.82,2023-01-01 21:00:00,79.77,0.56,2023-01-01 20:00:00,83.43,0.44,2023-01-01 18:15:00,32
2023-01-02,58.8,1.56,2023-01-02 09:30:00,63.29,1.29,2023-01-02 13:30:00,77.38,0.65,2023-01-02 13:30:00,32
2023-01-03,58.24,1.59,2023-01-03 18:00:00,64.54,1.22,2023-01-03 17:00:00,76.94,0.67,2023-01-03 17:00:00,32
2023-01-04,59.72,1.5,2023-01-04 07:00:00,74.95,0.74,2023-01-04 15:30:00,78.83,0.6,2023-01-04 15:15:00,32
2023-01-05,56.2,1.73,2023-01-05 11:30:00,69.21,0.99,2023-01-05 17:15:00,72.07,0.86,2023-01-05 16:00:00,32
2023-01-06,46.76,2.53,2023-01-06 17:30:00,65.88,1.15,2023-01-06 17:30:00,72.62,0.84,2023-01-06 16:00:00,32
2023-01-07,62.96,1.31,2023-01-07 16:30:00,72.22,0.85,2023-01-07 20:30:00,77.56,0.64,2023-01-07 19:15:00,32
2023-01-08,74.07,0.78,2023-01-08 14:45:00,86.81,0.34,2023-01-08 19:45:00,87.81,0.31,2023-01-08 19:45:00,32
2023-01-09,66.85,1.1,2023-01-09 17:30:00,78.43,0.61,2023-01-09 17:30:00,87.22,0.33,2023-01-09 17:30:00,32
2023-01-10,45.83,2.63,2023-01-10 09:15:00,62.73,1.32,2023-01-10 09:00:00,72.31,0.85,2023-01-10 18:15:00,32
2023-01-11,56.85,1.69,2023-01-11 10:15:00,77.73,0.64,2023-01-11 10:00:00,84.63,0.4,2023-01-11 08:30:00,32
2023-01-12,32.87,4.54,2023-01-12 18:00:00,41.3,3.16,2023-01-12 17:00:00,52.99,1.97,2023-01-12 16:00:00,32
2023-01-13,50.93,2.14,2023-01-13 20:00:00,71.02,0.91,2023-01-13 19:15:00,77.75,0.64,2023-01-13 18:45:00,32
2023-01-14,46.67,2.54,2023-01-14 19:30:00,68.66,1.01,2023-01-14 08:45:00,74.2,0.77,2023-01-14 17:30:00,32
2023-01-15,62.5,1.33,2023-01-15 18:00:00,79.4,0.58,2023-01-15 17:45:00,87.16,0.33,2023-01-15 17:15:00,32
2023-01-16,60.65,1.44,2023-01-16 13:30:00,70.0,0.95,2023-01-16 12:30:00,75.68,0.71,2023-01-16 13:00:00,32
2023-01-17,46.11,2.6,2023-01-17 17:45:00,53.89,1.9,2023-01-17 17:45:00,70.03,0.95,2023-01-17 17:15:00,32
2023-01-18,37.78,3.66,2023-01-18 17:00:00,61.11,1.41,2023-01-18 15:45:00,65.43,1.17,2023-01-18 15:30:00,32
2023-01-19,66.67,1.11,2023-01-19 09:00:00,75.69,0.71,2023-01-19 09:15:00,83.89,0.43,2023-01-19 08:15:00,32
2023-01-20,67.87,1.05,2023-01-20 12:00:00,73.29,0.81,2023-01-20 15:30:00,78.02,0.63,2023-01-20 14:30:00,32
2023-01-21,53.7,1.92,2023-01-21 13:30:00,68.19,1.04,2023-01-21 13:00:00,68.4,1.03,2023-01-21 13:15:00,32
2023-01-22,67.87,1.05,2023-01-22 18:00:00,86.71,0.34,2023-01-22 17:15:00,89.23,0.27,2023-01-22 15:45:00,32
2023-01-23,63.43,1.28,2023-01-23 16:45:00,78.1,0.62,2023-01-23 16:45:00,75.68,0.71,2023-01-23 16:45:00,32
2023-01-24,73.52,0.8,2023-01-24 18:30:00,86.62,0.34,2023-01-24 12:30:00,88.21,0.3,2023-01-24 16:30:00,32
2023-01-25,82.41,0.47,2023-01-25 07:30:00,90.51,0.23,2023-01-25 06:15:00,96.91,0.07,2023-01-25 05:15:00,32
2023-01-26,73.15,0.82,2023-01-26 20:00:00,79.44,0.57,2023-01-26 19:30:00,84.85,0.4,2023-01-26 18:45:00,32
2023-01-27,65.28,1.18,2023-01-27 17:30:00,75.93,0.7,2023-01-27 17:30:00,80.86,0.53,2023-01-27 17:30:00,32
2023-01-28,63.24,1.29,2023-01-28 12:15:00,83.33,0.44,2023-01-28 14:30:00,84.81,0.4,2023-01-28 10:15:00,32
2023-01-29,67.59,1.07,2023-01-29 17:45:00,85.88,0.37,2023-01-29 16:45:00,82.16,0.48,2023-01-29 15:45:00,32
2023-01-30,65.74,1.16,2023-01-30 10:15:00,74.91,0.74,2023-01-30 15:15:00,77.47,0.65,2023-01-30 08:15:00,32
2023-01-31,59.07,1.54,2023-01-31 12:30:00,80.09,0.55,2023-01-31 11:30:00,83.4,0.44,2023-01-31 16:45:00,32
2023-02-01,60.0,1.48,2023-02-01 17:00:00,67.04,1.09,2023-02-01 17:00:00,75.86,0.71,2023-02-01 17:00:00,32
2023-02-02,46.48,2.56,2023-02-02 12:15:00,66.3,1.13,2023-02-02 12:00:00,74.32,0.77,2023-02-02 12:15:00,32
2023-02-03,56.48,1.71,2023-02-03 13:00:00,71.16,0.9,2023-02-03 13:00:00,73.3,0.81,2023-02-03 12:45:00,32
