date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,45.59,1.73,2023-01-01 16:15:00,63.56,0.83,2023-01-01 16:15:00,67.17,0.71,2023-01-01 16:00:00,35
2023-01-02,51.93,1.34,2023-01-02 06:00:00,65.7,0.76,2023-01-02 06:00:00,70.89,0.6,2023-01-02 06:00:00,35
2023-01-03,60.81,0.93,2023-01-03 16:15:00,68.12,0.68,2023-01-03 08:30:00,70.67,0.6,2023-01-03 16:30:00,35
2023-01-04,45.41,1.74,2023-01-04 04:30:00,65.58,0.76,2023-01-04 08:45:00,68.88,0.65,2023-01-04 08:45:00,35
2023-01-05,59.66,0.98,2023-01-05 04:30:00,65.97,0.75,2023-01-05 16:45:00,67.33,0.7,2023-01-05 16:15:00,35
2023-01-06,55.13,1.18,2023-01-06 07:15:00,63.44,0.84,2023-01-06 07:00:00,69.36,0.64,2023-01-06 07:00:00,35
2023-01-07,71.62,0.57,2023-01-07 15:15:00,82.07,0.32,2023-01-07 14:15:00,81.22,0.34,2023-01-07 13:15:00,35
2023-01-08,46.14,1.69,2023-01-08 05:30:00,64.98,0.78,2023-01-08 04:45:00,76.65,0.44,2023-01-08 03:45:00,35
2023-01-09,63.29,0.84,2023-01-09 03:00:00,67.33,0.7,2023-01-09 16:15:00,69.52,0.64,2023-01-09 16:00:00,35
2023-01-10,61.23,0.92,2023-01-10 07:15:00,68.24,0.67,2023-01-10 07:15:00,69.81,0.63,2023-01-10 15:00:00,35
2023-01-11,47.4,1.61,2023-01-11 22:00:00,63.32,0.84,2023-01-11 21:45:00,71.78,0.57,2023-01-11 16:30:00,35
2023-01-12,57.49,1.07,2023-01-12 17:15:00,59.81,0.97,2023-01-12 16:45:00,62.08,0.89,2023-01-12 16:30:00,35
2023-01-13,64.73,0.79,2023-01-13 17:30:00,67.9,0.69,2023-01-13 17:30:00,70.79,0.6,2023-01-13 16:45:00,35
2023-01-14,40.04,2.17,2023-01-14 10:45:00,56.34,1.12,2023-01-14 09:45:00,62.38,0.87,2023-01-14 18:30:00,35
2023-01-15,50.42,1.42,2023-01-15 16:00:00,70.98,0.59,2023-01-15 16:00:00,75.22,0.48,2023-01-15 15:45:00,35
2023-01-16,62.68,0.86,2023-01-16 07:30:00,69.05,0.65,2023-01-16 06:30:00,75.08,0.48,2023-01-16 06:45:00,35
2023-01-17,55.86,1.15,2023-01-17 18:15:00,64.1,0.81,2023-01-17 18:00:00,67.25,0.71,2023-01-17 18:15:00,35
2023-01-18,61.84,0.89,2023-01-18 16:30:00,63.29,0.84,2023-01-18 16:30:00,64.17,0.81,2023-01-18 16:30:00,35
2023-01-19,64.49,0.8,2023-01-19 13:00:00,69.41,0.64,2023-01-19 18:30:00,71.07,0.59,2023-01-19 17:30:00,35
2023-01-20,46.44,1.67,2023-01-20 05:00:00,62.86,0.86,2023-01-20 17:15:00,68.52,0.67,2023-01-20 16:15:00,35
2023-01-21,65.34,0.77,2023-01-21 13:00:00,78.99,0.39,2023-01-21 09:30:00,81.44,0.33,2023-01-21 13:15:00,35
2023-01-22,65.88,0.75,2023-01-22 17:00:00,75.18,0.48,2023-01-22 16:45:00,83.23,0.29,2023-01-22 15:45:00,35
2023-01-23,55.37,1.17,2023-01-23 12:00:00,69.69,0.63,2023-01-23 11:30:00,73.27,0.53,2023-01-23 10:30:00,35
2023-01-24,49.76,1.46,2023-01-24 02:45:00,64.73,0.79,2023-01-24 14:45:00,68.04,0.68,2023-01-24 15:45:00,35
2023-01-25,56.16,1.13,2023-01-25 18:00:00,62.86,0.86,2023-01-25 17:30:00,67.19,0.71,2023-01-25 16:30:00,35
2023-01-26,44.32,1.82,2023-01-26 17:15:00,52.72,1.3,2023-01-26 16:30:00,58.68,1.02,2023-01-26 16:30:00,35
2023-01-27,58.21,1.04,2023-01-27 16:15:00,64.16,0.81,2023-01-27 16:00:00,66.89,0.72,2023-01-27 15:30:00,35
2023-01-28,62.02,0.89,2023-01-28 22:15:00,75.75,0.46,2023-01-28 17:30:00,77.05,0.43,2023-01-28 16:15:00,35
2023-01-29,35.51,2.63,2023-01-29 13:45:00,62.92,0.85,2023-01-29 12:45:00,72.1,0.56,2023-01-29 12:30:00,35
2023-01-30,61.29,0.92,2023-01-30 13:45:00,65.88,0.75,2023-01-30 17:45:00,66.93,0.72,2023-01-30 16:45:00,35
2023-01-31,70.41,0.61,2023-01-31 12:30:00,77.96,0.41,2023-01-31 17:15:00,78.7,0.39,2023-01-31 16:15:00,35
2023-02-01,60.93,0.93,2023-02-01 15:00:00,63.07,0.85,2023-02-01 16:30:00,66.55,0.73,2023-02-01 15:30:00,35
2023-02-02,45.95,1.7,2023-02-02 06:15:00,54.89,1.19,2023-02-02 05:15:00,61.09,0.92,2023-02-02 05:15:00,35
2023-02-03,56.04,1.14,2023-02-03 17:45:00,56.37,1.12,2023-02-03 16:45:00,58.74,1.02,2023-02-03 16:00:00,35
2023-02-04,41.49,2.04,2023-02-04 10:30:00,57.4,1.08,2023-02-04 10:00:00,64.23,0.81,2023-02-04 09:00:00,35
2023-02-05,77.54,0.42,2023-02-05 14:30:00,91.0,0.14,2023-02-05 14:00:00,92.11,0.12,2023-02-05 00:45:00,35
2023-02-06,49.88,1.46,2023-02-06 17:15:00,54.89,1.19,2023-02-06 17:00:00,57.25,1.08,2023-02-06 17:00:00,35
2023-02-07,50.06,1.45,2023-02-07 04:45:00,69.66,0.63,2023-02-07 15:45:00,71.6,0.57,2023-02-07 17:00:00,35
2023-02-08,60.63,0.94,2023-02-08 17:00:00,65.85,0.75,2023-02-08 16:15:00,68.66,0.66,2023-02-08 17:00:00,35
2023-02-09,57.37,1.08,2023-02-09 22:15:00,65.28,0.77,2023-02-09 16:00:00,67.35,0.7,2023-02-09 16:00:00,35
2023-02-10,47.83,1.58,2023-02-10 01:15:00,70.8,0.6,2023-02-10 14:45:00,74.8,0.49,2023-02-10 13:45:00,35
2023-02-11,63.04,0.85,2023-02-11 16:45:00,80.37,0.35,2023-02-11 06:15:00,85.27,0.25,2023-02-11 16:45:00,35
2023-02-12,65.88,0.75,2023-02-12 20:45:00,76.51,0.44,2023-02-12 17:30:00,83.41,0.29,2023-02-12 16:30:00,35
2023-02-13,62.68,0.86,2023-02-13 15:15:00,71.04,0.59,2023-02-13 07:15:00,72.24,0.56,2023-02-13 15:15:00,35
2023-02-14,57.31,1.08,2023-02-14 18:00:00,63.65,0.83,2023-02-14 18:00:00,66.38,0.73,2023-02-14 16:45:00,35
2023-02-15,64.49,0.8,2023-02-15 16:45:00,68.6,0.66,2023-02-15 16:15:00,69.55,0.63,2023-02-15 16:15:00,35
2023-02-16,62.2,0.88,2023-02-16 17:00:00,69.35,0.64,2023-02-16 16:45:00,72.44,0.55,2023-02-16 16:30:00,35
2023-02-17,51.39,1.37,2023-02-17 00:30:00,60.87,0.93,2023-02-17 04:45:00,66.47,0.73,2023-02-17 04:45:00,35
2023-02-18,64.61,0.79,2023-02-18 07:00:00,73.67,0.52,2023-02-18 09:00:00,79.77,0.37,2023-02-18 10:00:00,35
2023-02-19,60.02,0.97,2023-02-19 07:45:00,76.3,0.45,2023-02-19 14:30:00,77.58,0.42,2023-02-19 12:45:00,35
2023-02-20,65.04,0.78,2023-02-20 16:30:00,72.1,0.56,2023-02-20 16:00:00,76.49,0.45,2023-02-20 07:15:00,35
2023-02-21,57.0,1.09,2023-02-21 06:45:00,62.59,0.87,2023-02-21 05:45:00,65.78,0.75,2023-02-21 05:30:00,35
2023-02-22,65.4,0.77,2023-02-22 09:30:00,73.16,0.53,2023-02-22 16:30:00,75.12,0.48,2023-02-22 16:30:00,35
2023-02-23,56.22,1.13,2023-02-23 06:45:00,64.22,0.81,2023-02-23 06:45:00,66.02,0.75,2023-02-23 06:45:00,35
2023-02-24,54.35,1.22,2023-02-24 18:15:00,61.26,0.92,2023-02-24 17:15:00,61.71,0.9,2023-02-24 16:30:00,35
2023-02-25,68.6,0.66,2023-02-25 14:45:00,80.1,0.36,2023-02-25 14:45:00,84.88,0.26,2023-02-25 14:00:00,35
