date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,77.78,0.48,2023-01-01 12:30:00,81.6,0.38,2023-01-01 11:45:00,87.73,0.23,2023-01-01 11:15:00,46
2023-01-02,62.15,1.01,2023-01-02 16:30:00,71.53,0.66,2023-01-02 15:00:00,75.35,0.55,2023-01-02 15:00:00,46
2023-01-03,49.79,1.68,2023-01-03 15:30:00,61.42,1.05,2023-01-03 15:30:00,73.7,0.59,2023-01-03 15:30:00,46
2023-01-04,51.04,1.6,2023-01-04 14:30:00,58.89,1.16,2023-01-04 14:30:00,71.67,0.66,2023-01-04 14:30:00,46
2023-01-05,51.39,1.58,2023-01-05 15:00:00,55.73,1.32,2023-01-05 15:00:00,64.7,0.91,2023-01-05 14:00:00,46
2023-01-06,66.04,0.86,2023-01-06 13:30:00,74.34,0.58,2023-01-06 13:30:00,80.88,0.39,2023-01-06 13:45:00,46
2023-01-07,70.83,0.69,2023-01-07 19:45:00,79.58,0.43,2023-01-07 15:30:00,82.8,0.35,2023-01-07 15:30:00,46
2023-01-08,79.17,0.44,2023-01-08 21:00:00,85.45,0.28,2023-01-08 20:45:00,87.52,0.24,2023-01-08 20:45:00,46
2023-01-09,54.24,1.41,2023-01-09 16:00:00,64.1,0.93,2023-01-09 15:00:00,66.23,0.85,2023-01-09 15:30:00,46
2023-01-10,60.62,1.08,2023-01-10 15:30:00,66.25,0.85,2023-01-10 15:30:00,72.18,0.64,2023-01-10 15:15:00,46
2023-01-11,62.15,1.01,2023-01-11 16:45:00,68.4,0.77,2023-01-11 11:15:00,71.11,0.68,2023-01-11 12:00:00,46
2023-01-12,61.6,1.04,2023-01-12 16:00:00,76.98,0.5,2023-01-12 16:00:00,78.75,0.45,2023-01-12 15:30:00,46
2023-01-13,59.03,1.16,2023-01-13 16:15:00,65.87,0.86,2023-01-13 15:45:00,73.54,0.6,2023-01-13 16:00:00,46
2023-01-14,68.06,0.78,2023-01-14 14:15:00,78.3,0.46,2023-01-14 13:45:00,81.32,0.38,2023-01-14 13:45:00,46
2023-01-15,84.03,0.32,2023-01-15 11:30:00,88.51,0.22,2023-01-15 16:45:00,91.18,0.16,2023-01-15 16:45:00,46
2023-01-16,66.53,0.84,2023-01-16 19:30:00,71.42,0.67,2023-01-16 16:30:00,73.54,0.6,2023-01-16 15:30:00,46
2023-01-17,63.89,0.94,2023-01-17 14:45:00,65.52,0.88,2023-01-17 13:45:00,74.63,0.57,2023-01-17 13:15:00,46
2023-01-18,68.75,0.76,2023-01-18 15:30:00,80.9,0.39,2023-01-18 14:00:00,80.79,0.4,2023-01-18 14:00:00,46
2023-01-19,57.29,1.24,2023-01-19 08:30:00,74.48,0.57,2023-01-19 08:30:00,76.18,0.52,2023-01-19 08:30:00,46
2023-01-20,52.99,1.48,2023-01-20 12:45:00,61.56,1.04,2023-01-20 12:00:00,64.88,0.9,2023-01-20 10:45:00,46
2023-01-21,40.28,2.47,2023-01-21 16:15:00,67.6,0.8,2023-01-21 15:45:00,72.78,0.62,2023-01-21 14:45:00,46
2023-01-22,67.36,0.81,2023-01-22 15:30:00,76.74,0.51,2023-01-22 14:45:00,82.18,0.36,2023-01-22 13:30:00,46
2023-01-23,67.92,0.79,2023-01-23 15:30:00,77.26,0.49,2023-01-23 14:30:00,79.28,0.44,2023-01-23 13:15:00,46
2023-01-24,72.78,0.62,2023-01-24 10:15:00,73.89,0.59,2023-01-24 09:15:00,78.01,0.47,2023-01-24 07:45:00,46
2023-01-25,59.58,1.13,2023-01-25 15:45:00,74.41,0.57,2023-01-25 15:30:00,77.01,0.5,2023-01-25 14:15:00,46
2023-01-26,68.75,0.76,2023-01-26 19:15:00,76.84,0.5,2023-01-26 14:00:00,80.86,0.39,2023-01-26 13:45:00,46
2023-01-27,53.89,1.43,2023-01-27 11:30:00,68.33,0.77,2023-01-27 11:30:00,65.51,0.88,2023-01-27 11:30:00,46
2023-01-28,60.97,1.07,2023-01-28 12:00:00,75.31,0.55,2023-01-28 11:30:00,79.61,0.43,2023-01-28 14:15:00,46
2023-01-29,65.28,0.89,2023-01-29 18:15:00,81.08,0.39,2023-01-29 17:15:00,88.01,0.23,2023-01-29 12:30:00,46
2023-01-30,61.81,1.03,2023-01-30 18:45:00,67.71,0.79,2023-01-30 18:15:00,73.54,0.6,2023-01-30 18:15:00,46
2023-01-31,60.42,1.09,2023-01-31 10:00:00,65.45,0.88,2023-01-31 16:45:00,74.19,0.58,2023-01-31 15:45:00,46
2023-02-01,56.6,1.28,2023-02-01 16:00:00,69.41,0.73,2023-02-01 15:45:00,72.92,0.62,2023-02-01 16:00:00,46
2023-02-02,62.85,0.99,2023-02-02 09:30:00,68.26,0.77,2023-02-02 12:15:00,74.68,0.57,2023-02-02 12:15:00,46
2023-02-03,63.75,0.95,2023-02-03 11:45:00,75.28,0.55,2023-02-03 10:45:00,74.91,0.56,2023-02-03 09:30:00,46
2023-02-04,54.51,1.39,2023-02-04 18:00:00,67.6,0.8,2023-02-04 17:45:00,65.56,0.88,2023-02-04 18:00:00,46
2023-02-05,69.44,0.73,2023-02-05 16:45:00,88.02,0.23,2023-02-05 12:00:00,87.96,0.23,2023-02-05 19:45:00,46
2023-02-06,54.86,1.37,2023-02-06 16:15:00,67.71,0.79,2023-02-06 15:45:00,74.31,0.58,2023-02-06 15:45:00,46
2023-02-07,61.46,1.05,2023-02-07 19:00:00,74.48,0.57,2023-02-07 18:00:00,75.12,0.55,2023-02-07 17:15:00,46
2023-02-08,57.08,1.25,2023-02-08 18:00:00,64.65,0.91,2023-02-08 17:00:00,73.61,0.6,2023-02-08 17:00:00,46
2023-02-09,73.13,0.61,2023-02-09 12:00:00,81.63,0.38,2023-02-09 10:30:00,82.71,0.35,2023-02-09 09:30:00,46
2023-02-10,68.19,0.78,2023-02-10 14:00:00,72.36,0.64,2023-02-10 09:00:00,80.88,0.39,2023-02-10 08:00:00,46
2023-02-11,63.19,0.97,2023-02-11 14:45:00,71.35,0.67,2023-02-11 13:45:00,76.74,0.51,2023-02-11 13:30:00,46
2023-02-12,75.49,0.54,2023-02-12 17:15:00,82.53,0.35,2023-02-12 16:30:00,89.47,0.2,2023-02-12 16:15:00,46
2023-02-13,57.29,1.24,2023-02-13 17:15:00,68.92,0.75,2023-02-13 17:30:00,72.52,0.63,2023-02-13 16:45:00,46
2023-02-14,59.72,1.12,2023-02-14 19:30:00,69.24,0.74,2023-02-14 15:15:00,76.48,0.51,2023-02-14 15:15:00,46
2023-02-15,70.83,0.69,2023-02-15 17:15:00,77.95,0.47,2023-02-15 16:15:00,78.61,0.45,2023-02-15 11:30:00,46
2023-02-16,56.94,1.26,2023-02-16 16:15:00,63.02,0.98,2023-02-16 16:30:00,71.88,0.65,2023-02-16 16:00:00,46
2023-02-17,61.46,1.05,2023-02-17 16:00:00,76.22,0.52,2023-02-17 15:00:00,75.63,0.54,2023-02-17 13:30:00,46
2023-02-18,51.53,1.57,2023-02-18 17:30:00,73.33,0.61,2023-02-18 16:45:00,75.69,0.54,2023-02-18 17:30:00,46
2023-02-19,70.83,0.69,2023-02-19 14:00:00,82.47,0.35,2023-02-19 12:30:00,85.3,0.29,2023-02-19 11:45:00,46
2023-02-20,54.93,1.37,2023-02-20 16:00:00,62.6,1.0,2023-02-20 15:00:00,69.05,0.75,2023-02-20 14:30:00,46
2023-02-21,51.04,1.6,2023-02-21 11:15:00,67.36,0.81,2023-02-21 10:15:00,73.19,0.61,2023-02-21 09:15:00,46
2023-02-22,68.26,0.77,2023-02-22 17:15:00,76.32,0.52,2023-02-22 16:15:00,84.21,0.31,2023-02-22 16:15:00,46
2023-02-23,54.65,1.38,2023-02-23 13:15:00,66.67,0.83,2023-02-23 12:15:00,71.76,0.66,2023-02-23 12:15:00,46
2023-02-24,59.58,1.13,2023-02-24 09:15:00,68.58,0.76,2023-02-24 09:15:00,75.0,0.56,2023-02-24 08:45:00,46
2023-02-25,72.57,0.63,2023-02-25 17:30:00,81.42,0.38,2023-02-25 13:30:00,84.0,0.32,2023-02-25 13:30:00,46
2023-02-26,87.36,0.24,2023-02-26 16:45:00,91.15,0.16,2023-02-26 15:15:00,93.94,0.11,2023-02-26 14:45:00,46
2023-02-27,59.03,1.16,2023-02-27 16:45:00,67.88,0.79,2023-02-27 15:45:00,70.49,0.7,2023-02-27 14:45:00,46
2023-02-28,58.33,1.19,2023-02-28 16:15:00,68.3,0.77,2023-02-28 16:00:00,75.86,0.53,2023-02-28 15:00:00,46
2023-03-01,62.5,1.0,2023-03-01 16:15:00,71.08,0.68,2023-03-01 15:30:00,76.5,0.51,2023-03-01 14:45:00,46
2023-03-02,61.32,1.05,2023-03-02 11:15:00,68.4,0.77,2023-03-02 10:15:00,76.5,0.51,2023-03-02 09:15:00,46
2023-03-03,60.07,1.11,2023-03-03 10:15:00,68.75,0.76,2023-03-03 13:45:00,72.38,0.64,2023-03-03 13:00:00,46
