date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,100.0,0.0,2023-01-01 00:00:00,100.0,0.0,2023-01-01 00:00:00,100.0,0.0,2023-01-01 00:00:00,36
2023-01-02,95.56,0.06,2023-01-02 07:45:00,100.0,0.0,2023-01-02 19:30:00,100.0,0.0,2023-01-02 18:45:00,36
2023-01-03,93.17,0.1,2023-01-03 12:00:00,96.89,0.04,2023-01-03 12:00:00,101.11,-0.01,2023-01-03 12:00:00,36
2023-01-04,95.11,0.07,2023-01-04 11:45:00,100.0,0.0,2023-01-04 21:30:00,100.19,-0.0,2023-01-04 21:00:00,36
2023-01-05,96.0,0.06,2023-01-05 10:30:00,99.58,0.01,2023-01-05 22:00:00,99.72,0.0,2023-01-05 20:30:00,36
2023-01-06,99.44,0.01,2023-01-06 11:15:00,100.0,0.0,2023-01-06 20:00:00,100.0,0.0,2023-01-06 20:15:00,36
2023-01-07,97.22,0.04,2023-01-07 12:15:00,98.89,0.01,2023-01-07 11:30:00,100.0,0.0,2023-01-07 01:00:00,36
2023-01-08,97.78,0.03,2023-01-08 16:30:00,100.0,0.0,2023-01-08 19:00:00,100.0,0.0,2023-01-08 19:00:00,36
2023-01-09,90.0,0.15,2023-01-09 05:45:00,99.08,0.01,2023-01-09 08:00:00,99.87,0.0,2023-01-09 20:45:00,36
2023-01-10,97.67,0.03,2023-01-10 13:00:00,100.0,0.0,2023-01-10 00:15:00,100.0,0.0,2023-01-10 00:15:00,36
2023-01-11,90.56,0.14,2023-01-11 14:30:00,94.17,0.08,2023-01-11 14:30:00,99.07,0.01,2023-01-11 13:45:00,36
2023-01-12,89.0,0.16,2023-01-12 10:30:00,95.75,0.06,2023-01-12 09:30:00,98.26,0.02,2023-01-12 08:30:00,36
2023-01-13,97.22,0.04,2023-01-13 16:00:00,99.44,0.01,2023-01-13 16:00:00,99.81,0.0,2023-01-13 20:00:00,36
2023-01-14,92.78,0.1,2023-01-14 10:30:00,98.11,0.03,2023-01-14 12:15:00,98.69,0.02,2023-01-14 11:15:00,36
2023-01-15,89.44,0.16,2023-01-15 23:00:00,94.72,0.07,2023-01-15 22:00:00,96.48,0.05,2023-01-15 21:00:00,36
2023-01-16,86.94,0.2,2023-01-16 09:00:00,96.11,0.05,2023-01-16 02:45:00,97.41,0.04,2023-01-16 01:30:00,36
2023-01-17,93.33,0.1,2023-01-17 02:15:00,96.67,0.05,2023-01-17 02:00:00,97.78,0.03,2023-01-17 01:00:00,36
2023-01-18,96.78,0.04,2023-01-18 09:45:00,99.72,0.0,2023-01-18 21:00:00,100.0,0.0,2023-01-18 00:00:00,36
2023-01-19,90.0,0.15,2023-01-19 02:45:00,95.0,0.07,2023-01-19 01:45:00,96.67,0.05,2023-01-19 01:00:00,36
2023-01-20,96.67,0.05,2023-01-20 21:30:00,98.33,0.02,2023-01-20 20:30:00,101.11,-0.01,2023-01-20 20:30:00,36
2023-01-21,97.22,0.04,2023-01-21 15:30:00,98.97,0.01,2023-01-21 18:30:00,100.0,0.0,2023-01-21 00:45:00,36
2023-01-22,98.33,0.02,2023-01-22 21:45:00,99.17,0.01,2023-01-22 21:30:00,99.44,0.01,2023-01-22 20:00:00,36
2023-01-23,98.89,0.01,2023-01-23 00:00:00,99.44,0.01,2023-01-23 00:15:00,99.63,0.0,2023-01-23 00:15:00,36
2023-01-24,96.67,0.05,2023-01-24 20:30:00,98.33,0.02,2023-01-24 19:45:00,100.0,0.0,2023-01-24 19:15:00,36
2023-01-25,92.39,0.11,2023-01-25 08:45:00,96.86,0.04,2023-01-25 22:00:00,98.48,0.02,2023-01-25 08:00:00,36
2023-01-26,89.78,0.15,2023-01-26 10:00:00,96.22,0.05,2023-01-26 09:00:00,99.72,0.0,2023-01-26 08:00:00,36
2023-01-27,90.89,0.13,2023-01-27 13:15:00,100.0,0.0,2023-01-27 00:15:00,100.0,0.0,2023-01-27 00:00:00,36
2023-01-28,92.11,0.11,2023-01-28 15:15:00,100.0,0.0,2023-01-28 05:00:00,100.0,0.0,2023-01-28 00:30:00,36
2023-01-29,99.72,0.0,2023-01-29 07:00:00,99.86,0.0,2023-01-29 07:00:00,99.91,0.0,2023-01-29 05:00:00,36
2023-01-30,100.0,0.0,2023-01-30 23:00:00,100.0,0.0,2023-01-30 00:30:00,100.0,0.0,2023-01-30 00:30:00,36
2023-01-31,81.11,0.31,2023-01-31 06:30:00,96.25,0.05,2023-01-31 05:45:00,100.0,0.0,2023-01-31 21:00:00,36
2023-02-01,90.56,0.14,2023-02-01 15:15:00,97.58,0.03,2023-02-01 14:30:00,100.0,0.0,2023-02-01 19:30:00,36
2023-02-02,87.44,0.19,2023-02-02 11:30:00,92.75,0.1,2023-02-02 11:30:00,98.33,0.02,2023-02-02 11:30:00,36
2023-02-03,96.11,0.05,2023-02-03 03:15:00,98.06,0.03,2023-02-03 02:00:00,98.7,0.02,2023-02-03 01:00:00,36
2023-02-04,85.0,0.24,2023-02-04 08:45:00,95.42,0.06,2023-02-04 07:45:00,96.94,0.04,2023-02-04 06:45:00,36
2023-02-05,96.11,0.05,2023-02-05 11:30:00,99.72,0.0,2023-02-05 18:30:00,100.0,0.0,2023-02-05 04:30:00,36
2023-02-06,94.67,0.08,2023-02-06 09:45:00,97.75,0.03,2023-02-06 10:00:00,99.56,0.01,2023-02-06 09:00:00,36
2023-02-07,92.78,0.1,2023-02-07 13:45:00,97.69,0.03,2023-02-07 13:45:00,101.11,-0.01,2023-02-07 19:45:00,36
2023-02-08,86.78,0.2,2023-02-08 14:45:00,95.61,0.06,2023-02-08 14:00:00,100.37,-0.0,2023-02-08 01:30:00,36
2023-02-09,86.67,0.21,2023-02-09 03:30:00,94.17,0.08,2023-02-09 02:30:00,96.11,0.05,2023-02-09 01:30:00,36
2023-02-10,87.78,0.19,2023-02-10 03:15:00,95.0,0.07,2023-02-10 01:45:00,98.15,0.03,2023-02-10 01:15:00,36
2023-02-11,98.33,0.02,2023-02-11 09:45:00,99.17,0.01,2023-02-11 08:45:00,99.44,0.01,2023-02-11 07:45:00,36
2023-02-12,100.0,0.0,2023-02-12 19:00:00,100.0,0.0,2023-02-12 19:00:00,100.0,0.0,2023-02-12 19:45:00,36
2023-02-13,96.94,0.04,2023-02-13 00:00:00,99.86,0.0,2023-02-13 00:15:00,99.91,0.0,2023-02-13 00:30:00,36
2023-02-14,92.5,0.11,2023-02-14 12:15:00,98.19,0.02,2023-02-14 15:45:00,99.69,0.0,2023-02-14 00:00:00,36
2023-02-15,96.39,0.05,2023-02-15 14:30:00,100.0,0.0,2023-02-15 20:15:00,100.37,-0.0,2023-02-15 20:15:00,36
2023-02-16,83.33,0.27,2023-02-16 14:45:00,88.28,0.18,2023-02-16 14:45:00,93.06,0.1,2023-02-16 13:45:00,36
2023-02-17,90.56,0.14,2023-02-17 03:15:00,99.31,0.01,2023-02-17 02:15:00,100.46,-0.01,2023-02-17 20:15:00,36
2023-02-18,82.22,0.29,2023-02-18 15:00:00,86.67,0.21,2023-02-18 13:30:00,89.26,0.16,2023-02-18 13:30:00,36
2023-02-19,100.0,0.0,2023-02-19 23:00:00,100.0,0.0,2023-02-19 05:00:00,100.0,0.0,2023-02-19 05:00:00,36
2023-02-20,91.89,0.12,2023-02-20 15:15:00,96.03,0.06,2023-02-20 14:15:00,100.0,0.0,2023-02-20 20:00:00,36
2023-02-21,95.56,0.06,2023-02-21 03:00:00,97.78,0.03,2023-02-21 02:00:00,98.52,0.02,2023-02-21 01:00:00,36
2023-02-22,93.17,0.1,2023-02-22 03:30:00,96.58,0.05,2023-02-22 02:45:00,97.91,0.03,2023-02-22 01:45:00,36
2023-02-23,86.17,0.21,2023-02-23 10:45:00,100.0,0.0,2023-02-23 10:45:00,100.0,0.0,2023-02-23 00:45:00,36
