date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,95.62,0.05,2023-01-01 10:00:00,97.81,0.02,2023-01-01 10:15:00,98.54,0.01,2023-01-01 10:00:00,25
2023-01-02,90.24,0.11,2023-01-02 08:15:00,95.45,0.05,2023-01-02 07:15:00,96.56,0.04,2023-01-02 06:45:00,25
2023-01-03,92.93,0.08,2023-01-03 17:45:00,95.77,0.04,2023-01-03 17:00:00,96.94,0.03,2023-01-03 17:00:00,25
2023-01-04,92.47,0.08,2023-01-04 16:45:00,94.53,0.06,2023-01-04 16:45:00,97.36,0.03,2023-01-04 16:45:00,25
2023-01-05,85.77,0.17,2023-01-05 07:00:00,92.89,0.08,2023-01-05 06:45:00,95.59,0.05,2023-01-05 10:15:00,25
2023-01-06,84.3,0.19,2023-01-06 19:00:00,92.59,0.08,2023-01-06 19:30:00,90.67,0.1,2023-01-06 19:00:00,25
2023-01-07,88.3,0.13,2023-01-07 08:30:00,94.15,0.06,2023-01-07 08:30:00,96.28,0.04,2023-01-07 14:00:00,25
2023-01-08,98.99,0.01,2023-01-08 14:45:00,99.92,0.0,2023-01-08 18:45:00,100.0,0.0,2023-01-08 00:00:00,25
2023-01-09,81.27,0.23,2023-01-09 17:45:00,89.31,0.12,2023-01-09 16:45:00,92.86,0.08,2023-01-09 16:30:00,25
2023-01-10,84.09,0.19,2023-01-10 09:45:00,93.86,0.07,2023-01-10 09:15:00,96.35,0.04,2023-01-10 16:30:00,25
2023-01-11,84.55,0.18,2023-01-11 18:00:00,88.93,0.13,2023-01-11 17:15:00,92.8,0.08,2023-01-11 16:30:00,25
2023-01-12,90.4,0.11,2023-01-12 14:45:00,93.94,0.07,2023-01-12 17:15:00,96.07,0.04,2023-01-12 10:00:00,25
2023-01-13,81.31,0.23,2023-01-13 20:45:00,90.66,0.1,2023-01-13 21:15:00,93.67,0.07,2023-01-13 19:00:00,25
2023-01-14,85.77,0.17,2023-01-14 19:30:00,95.33,0.05,2023-01-14 19:15:00,98.05,0.02,2023-01-14 11:00:00,25
2023-01-15,86.36,0.16,2023-01-15 16:30:00,93.41,0.07,2023-01-15 16:30:00,95.99,0.04,2023-01-15 16:30:00,25
2023-01-16,82.03,0.22,2023-01-16 08:30:00,88.24,0.13,2023-01-16 08:30:00,92.16,0.09,2023-01-16 08:30:00,25
2023-01-17,88.09,0.14,2023-01-17 17:45:00,93.2,0.07,2023-01-17 17:15:00,96.86,0.03,2023-01-17 16:15:00,25
2023-01-18,90.4,0.11,2023-01-18 16:00:00,95.27,0.05,2023-01-18 09:00:00,95.95,0.04,2023-01-18 08:00:00,25
2023-01-19,83.04,0.21,2023-01-19 13:15:00,84.62,0.18,2023-01-19 12:15:00,91.32,0.1,2023-01-19 13:00:00,25
2023-01-20,86.2,0.16,2023-01-20 14:15:00,93.18,0.07,2023-01-20 10:30:00,94.42,0.06,2023-01-20 08:15:00,25
2023-01-21,92.51,0.08,2023-01-21 14:45:00,98.44,0.02,2023-01-21 14:00:00,99.33,0.01,2023-01-21 15:00:00,25
2023-01-22,93.52,0.07,2023-01-22 09:00:00,96.32,0.04,2023-01-22 08:00:00,98.75,0.01,2023-01-22 19:15:00,25
2023-01-23,85.65,0.17,2023-01-23 10:15:00,96.97,0.03,2023-01-23 14:30:00,98.67,0.01,2023-01-23 12:30:00,25
2023-01-24,81.44,0.23,2023-01-24 17:45:00,90.72,0.1,2023-01-24 16:45:00,92.52,0.08,2023-01-24 16:00:00,25
2023-01-25,81.99,0.22,2023-01-25 20:45:00,93.12,0.07,2023-01-25 19:15:00,91.68,0.09,2023-01-25 18:15:00,25
2023-01-26,85.4,0.17,2023-01-26 12:30:00,94.21,0.06,2023-01-26 11:45:00,95.24,0.05,2023-01-26 10:30:00,25
2023-01-27,87.75,0.14,2023-01-27 05:45:00,93.88,0.07,2023-01-27 05:00:00,95.92,0.04,2023-01-27 04:00:00,25
2023-01-28,95.83,0.04,2023-01-28 16:00:00,97.45,0.03,2023-01-28 15:15:00,98.3,0.02,2023-01-28 14:15:00,25
2023-01-29,92.68,0.08,2023-01-29 07:45:00,97.52,0.03,2023-01-29 06:45:00,98.34,0.02,2023-01-29 05:45:00,25
2023-01-30,84.13,0.19,2023-01-30 16:45:00,93.37,0.07,2023-01-30 16:45:00,96.16,0.04,2023-01-30 16:45:00,25
2023-01-31,91.88,0.09,2023-01-31 00:45:00,97.54,0.03,2023-01-31 01:00:00,98.36,0.02,2023-01-31 01:00:00,25
