date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,89.58,0.39,2023-01-01 19:45:00,94.1,0.21,2023-01-01 19:45:00,95.6,0.15,2023-01-01 19:45:00,149
2023-01-02,90.97,0.33,2023-01-02 08:15:00,99.51,0.02,2023-01-02 08:30:00,100.0,0.0,2023-01-02 02:00:00,149
2023-01-03,88.19,0.45,2023-01-03 16:30:00,91.11,0.33,2023-01-03 16:30:00,96.76,0.11,2023-01-03 01:45:00,149
2023-01-04,86.94,0.5,2023-01-04 18:45:00,93.47,0.23,2023-01-04 17:45:00,98.1,0.06,2023-01-04 08:45:00,149
2023-01-05,64.31,1.85,2023-01-05 09:30:00,77.15,0.99,2023-01-05 09:15:00,79.95,0.84,2023-01-05 09:30:00,149
2023-01-06,70.83,1.37,2023-01-06 15:45:00,80.56,0.8,2023-01-06 15:45:00,81.11,0.78,2023-01-06 15:45:00,149
2023-01-07,89.58,0.39,2023-01-07 21:30:00,93.61,0.23,2023-01-07 21:30:00,95.74,0.15,2023-01-07 21:00:00,149
2023-01-08,87.5,0.48,2023-01-08 12:30:00,93.75,0.22,2023-01-08 12:30:00,95.83,0.14,2023-01-08 12:30:00,149
2023-01-09,84.03,0.63,2023-01-09 02:30:00,89.31,0.4,2023-01-09 08:15:00,92.18,0.28,2023-01-09 07:15:00,149
2023-01-10,69.44,1.47,2023-01-10 15:45:00,77.78,0.95,2023-01-10 15:00:00,82.87,0.69,2023-01-10 14:45:00,149
2023-01-11,62.5,2.0,2023-01-11 17:15:00,81.94,0.73,2023-01-11 17:15:00,82.87,0.69,2023-01-11 17:15:00,149
2023-01-12,70.14,1.42,2023-01-12 10:00:00,82.5,0.71,2023-01-12 10:00:00,83.61,0.65,2023-01-12 09:30:00,149
2023-01-13,72.22,1.28,2023-01-13 15:45:00,80.21,0.82,2023-01-13 15:30:00,90.56,0.35,2023-01-13 05:30:00,149
2023-01-14,78.75,0.9,2023-01-14 19:15:00,89.38,0.4,2023-01-14 19:15:00,92.92,0.25,2023-01-14 19:15:00,149
