date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,73.57,0.68,2023-01-01 18:30:00,78.25,0.53,2023-01-01 17:30:00,83.25,0.38,2023-01-01 17:30:00,52
2023-01-02,71.27,0.77,2023-01-02 14:00:00,83.25,0.38,2023-01-02 13:30:00,88.84,0.24,2023-01-02 12:30:00,52
2023-01-03,65.08,1.02,2023-01-03 17:45:00,82.54,0.4,2023-01-03 17:45:00,86.24,0.3,2023-01-03 17:15:00,52
2023-01-04,59.52,1.3,2023-01-04 20:30:00,65.67,1.0,2023-01-04 20:45:00,77.12,0.57,2023-01-04 20:00:00,52
2023-01-05,75.0,0.63,2023-01-05 00:00:00,86.47,0.3,2023-01-05 09:45:00,89.39,0.23,2023-01-05 08:45:00,52
2023-01-06,72.78,0.71,2023-01-06 16:45:00,79.05,0.5,2023-01-06 16:45:00,81.8,0.42,2023-01-06 16:45:00,52
2023-01-07,72.62,0.72,2023-01-07 13:30:00,83.21,0.38,2023-01-07 09:30:00,87.62,0.27,2023-01-07 08:15:00,52
2023-01-08,76.98,0.57,2023-01-08 21:00:00,83.21,0.38,2023-01-08 20:00:00,84.05,0.36,2023-01-08 18:30:00,52
2023-01-09,76.19,0.6,2023-01-09 21:45:00,81.35,0.44,2023-01-09 20:30:00,87.57,0.27,2023-01-09 19:30:00,52
2023-01-10,63.89,1.08,2023-01-10 19:30:00,73.81,0.68,2023-01-10 18:00:00,73.81,0.68,2023-01-10 17:30:00,52
2023-01-11,73.81,0.68,2023-01-11 12:45:00,84.25,0.36,2023-01-11 16:00:00,85.11,0.33,2023-01-11 15:00:00,52
2023-01-12,74.84,0.64,2023-01-12 16:00:00,78.41,0.52,2023-01-12 14:45:00,82.96,0.39,2023-01-12 15:00:00,52
2023-01-13,63.1,1.11,2023-01-13 17:00:00,76.79,0.58,2023-01-13 17:00:00,78.97,0.51,2023-01-13 15:15:00,52
2023-01-14,60.32,1.25,2023-01-14 23:00:00,79.09,0.5,2023-01-14 22:00:00,84.6,0.35,2023-01-14 09:45:00,52
2023-01-15,76.98,0.57,2023-01-15 17:45:00,86.31,0.3,2023-01-15 18:30:00,88.36,0.25,2023-01-15 17:30:00,52
2023-01-16,67.06,0.94,2023-01-16 12:30:00,77.98,0.54,2023-01-16 12:00:00,82.67,0.4,2023-01-16 10:45:00,52
2023-01-17,55.4,1.53,2023-01-17 14:30:00,75.63,0.61,2023-01-17 13:45:00,77.28,0.56,2023-01-17 12:30:00,52
2023-01-18,61.27,1.2,2023-01-18 17:15:00,75.67,0.61,2023-01-18 16:45:00,82.94,0.39,2023-01-18 16:00:00,52
2023-01-19,76.35,0.59,2023-01-19 10:15:00,85.71,0.32,2023-01-19 18:30:00,86.19,0.31,2023-01-19 17:45:00,52
2023-01-20,86.51,0.3,2023-01-20 08:00:00,92.9,0.15,2023-01-20 08:15:00,93.25,0.14,2023-01-20 05:45:00,52
2023-01-21,82.14,0.41,2023-01-21 18:45:00,87.7,0.27,2023-01-21 18:45:00,91.8,0.17,2023-01-21 17:45:00,52
2023-01-22,92.06,0.16,2023-01-22 20:45:00,93.25,0.14,2023-01-22 20:45:00,94.18,0.12,2023-01-22 20:00:00,52
2023-01-23,56.35,1.48,2023-01-23 19:00:00,72.34,0.73,2023-01-23 15:45:00,76.19,0.6,2023-01-23 16:45:00,52
2023-01-24,69.84,0.82,2023-01-24 12:00:00,70.52,0.8,2023-01-24 12:00:00,76.56,0.58,2023-01-24 12:00:00,52
2023-01-25,74.21,0.66,2023-01-25 10:15:00,86.11,0.31,2023-01-25 10:45:00,86.72,0.29,2023-01-25 11:00:00,52
