date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-01-01,88.19,0.45,2023-01-01 22:45:00,103.96,-0.13,2023-01-01 21:45:00,109.58,-0.29,2023-01-01 20:45:00,57
2023-01-02,68.89,1.51,2023-01-02 08:00:00,83.96,0.64,2023-01-02 07:15:00,91.06,0.33,2023-01-02 06:00:00,57
2023-01-03,75.0,1.11,2023-01-03 04:15:00,87.5,0.48,2023-01-03 03:45:00,102.08,-0.07,2023-01-03 03:00:00,57
2023-01-04,49.72,3.37,2023-01-04 18:00:00,61.81,2.06,2023-01-04 17:15:00,77.18,0.99,2023-01-04 17:00:00,57
2023-01-05,65.42,1.76,2023-01-05 08:30:00,71.04,1.36,2023-01-05 07:30:00,78.84,0.89,2023-01-05 07:00:00,57
2023-01-06,62.78,1.98,2023-01-06 08:45:00,95.97,0.14,2023-01-06 07:30:00,103.8,-0.12,2023-01-06 07:15:00,57
2023-01-07,75.69,1.07,2023-01-07 08:00:00,93.75,0.22,2023-01-07 01:15:00,100.69,-0.02,2023-01-07 00:30:00,57
2023-01-08,88.89,0.42,2023-01-08 08:00:00,95.14,0.17,2023-01-08 01:15:00,102.78,-0.09,2023-01-08 00:45:00,57
2023-01-09,83.61,0.65,2023-01-09 18:30:00,98.19,0.06,2023-01-09 17:45:00,103.84,-0.12,2023-01-09 16:30:00,57
2023-01-10,87.08,0.49,2023-01-10 08:30:00,91.53,0.31,2023-01-10 07:15:00,104.72,-0.15,2023-01-10 15:45:00,57
2023-01-11,80.56,0.8,2023-01-11 04:00:00,90.97,0.33,2023-01-11 03:45:00,98.47,0.05,2023-01-11 16:45:00,57
2023-01-12,31.39,7.29,2023-01-12 18:00:00,58.82,2.33,2023-01-12 17:00:00,75.88,1.06,2023-01-12 16:45:00,57
2023-01-13,25.83,9.57,2023-01-13 11:45:00,68.54,1.53,2023-01-13 11:00:00,89.44,0.39,2023-01-13 11:15:00,57
2023-01-14,76.67,1.01,2023-01-14 17:15:00,79.65,0.85,2023-01-14 16:15:00,92.45,0.27,2023-01-14 16:15:00,57
2023-01-15,90.28,0.36,2023-01-15 10:15:00,99.37,0.02,2023-01-15 10:15:00,104.21,-0.13,2023-01-15 09:00:00,57
2023-01-16,50.97,3.21,2023-01-16 08:15:00,73.54,1.2,2023-01-16 08:00:00,87.22,0.49,2023-01-16 16:15:00,57
2023-01-17,81.53,0.76,2023-01-17 16:45:00,99.93,0.0,2023-01-17 16:45:00,103.01,-0.1,2023-01-17 16:45:00,57
2023-01-18,28.89,8.21,2023-01-18 16:45:00,42.5,4.51,2023-01-18 17:00:00,48.7,3.51,2023-01-18 16:45:00,57
2023-01-19,67.64,1.59,2023-01-19 17:45:00,79.1,0.88,2023-01-19 16:45:00,88.56,0.43,2023-01-19 15:45:00,57
2023-01-20,75.97,1.05,2023-01-20 09:00:00,80.62,0.8,2023-01-20 08:00:00,88.1,0.45,2023-01-20 16:30:00,57
2023-01-21,88.47,0.43,2023-01-21 10:45:00,103.96,-0.13,2023-01-21 10:45:00,104.91,-0.16,2023-01-21 10:45:00,57
2023-01-22,93.06,0.25,2023-01-22 04:15:00,107.99,-0.25,2023-01-22 07:00:00,106.48,-0.2,2023-01-22 08:00:00,57
2023-01-23,86.11,0.54,2023-01-23 07:00:00,103.75,-0.12,2023-01-23 07:00:00,108.19,-0.25,2023-01-23 07:00:00,57
2023-01-24,56.39,2.58,2023-01-24 08:15:00,76.94,1.0,2023-01-24 15:15:00,88.56,0.43,2023-01-24 15:00:00,57
2023-01-25,49.72,3.37,2023-01-25 17:30:00,65.42,1.76,2023-01-25 16:45:00,78.43,0.92,2023-01-25 06:00:00,57
2023-01-26,65.97,1.72,2023-01-26 08:00:00,77.57,0.96,2023-01-26 14:30:00,86.62,0.51,2023-01-26 07:30:00,57
2023-01-27,88.75,0.42,2023-01-27 08:45:00,105.56,-0.18,2023-01-27 12:45:00,111.53,-0.34,2023-01-27 11:45:00,57
2023-01-28,67.36,1.62,2023-01-28 19:00:00,85.07,0.59,2023-01-28 18:00:00,91.9,0.29,2023-01-28 17:15:00,57
2023-01-29,96.81,0.11,2023-01-29 22:45:00,106.25,-0.2,2023-01-29 21:45:00,112.5,-0.37,2023-01-29 20:45:00,57
2023-01-30,75.97,1.05,2023-01-30 08:30:00,89.65,0.38,2023-01-30 07:30:00,104.12,-0.13,2023-01-30 07:15:00,57
2023-01-31,55.56,2.67,2023-01-31 07:45:00,68.61,1.52,2023-01-31 07:45:00,82.55,0.7,2023-01-31 17:00:00,57
2023-02-01,70.42,1.4,2023-02-01 08:30:00,95.56,0.16,2023-02-01 16:30:00,103.61,-0.12,2023-02-01 06:45:00,57
2023-02-02,65.0,1.79,2023-02-02 08:30:00,87.92,0.46,2023-02-02 07:30:00,96.48,0.12,2023-02-02 06:30:00,57
2023-02-03,77.5,0.97,2023-02-03 18:15:00,92.85,0.26,2023-02-03 06:45:00,98.7,0.04,2023-02-03 16:00:00,57
2023-02-04,39.86,5.03,2023-02-04 17:15:00,60.0,2.22,2023-02-04 16:15:00,81.76,0.74,2023-02-04 15:15:00,57
2023-02-05,87.92,0.46,2023-02-05 15:30:00,97.57,0.08,2023-02-05 14:45:00,105.37,-0.17,2023-02-05 14:45:00,57
2023-02-06,81.39,0.76,2023-02-06 08:15:00,87.5,0.48,2023-02-06 07:45:00,96.76,0.11,2023-02-06 07:00:00,57
2023-02-07,17.92,15.27,2023-02-07 11:00:00,36.67,5.76,2023-02-07 10:30:00,55.23,2.7,2023-02-07 09:30:00,57
2023-02-08,64.31,1.85,2023-02-08 18:00:00,76.04,1.05,2023-02-08 17:30:00,92.5,0.27,2023-02-08 17:30:00,57
2023-02-09,75.28,1.09,2023-02-09 07:15:00,92.71,0.26,2023-02-09 07:15:00,93.94,0.22,2023-02-09 07:15:00,57
